scenario,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,policy,p99_ms_median,p99_ms_min,p99_ms_max
dynamic_degradation,6,30000,35000,severe_slow,healthy,1,health_ec,97.45,89.3,109.1
dynamic_degradation,7,35000,40000,severe_slow,healthy,1,health_ec,93.8,90.6,101.3
dynamic_degradation,8,40000,45000,severe_slow,healthy,1,health_ec,94.9,89,106.4
dynamic_degradation,9,45000,50000,recovery,mild_slow,1,health_ec,40.2,39.1,41.5
dynamic_degradation,10,50000,55000,recovery,mild_slow,1,health_ec,40.3,39,42
dynamic_degradation,11,55000,60000,healthy,severe_slow,1,health_ec,95.3,88.4,105.4
dynamic_degradation,12,60000,65000,healthy,severe_slow,1,health_ec,95.6,90.8,110
dynamic_degradation,13,65000,70000,healthy,severe_slow,1,health_ec,95.05,89.7,103
dynamic_degradation,14,70000,75000,mild_slow,recovery,1,health_ec,40.35,39.2,42.5
dynamic_degradation,15,75000,80000,recovery,recovery,0,health_ec,25.65,25,26.5
dynamic_degradation,16,80000,85000,healthy,healthy,0,health_ec,18.8,18.4,19.2
dynamic_degradation,17,85000,90000,healthy,healthy,0,health_ec,18.75,18.5,19.1
dynamic_degradation,18,90000,95000,healthy,healthy,0,health_ec,18.8,18.5,19.2
dynamic_degradation,19,95000,100000,healthy,healthy,0,health_ec,18.8,18.4,19.1
