scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_degradation,late_binding,42..71,30,15,1,5000,10000,healthy,healthy,0,10.7,10.6,10.7,14,13.8,14.2,15.4,15.2,15.7,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4000,3942,4061,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,2,10000,15000,healthy,healthy,0,10.7,10.6,10.8,14,13.8,14.1,15.4,15.2,15.7,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3998.5,3939,4051,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,3,15000,20000,mild_slow,healthy,1,11.7,11.6,11.8,16.1,15.9,16.2,18,17.8,18.4,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3908.5,3857,3985,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,4,20000,25000,mild_slow,healthy,1,11.7,11.7,11.8,16.1,15.8,16.3,18.1,17.8,18.5,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3924.5,3854,3969,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,5,25000,30000,mild_slow,healthy,1,11.75,11.7,11.8,16.1,15.9,16.2,18.1,17.6,18.4,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3924,3880,3970,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,6,30000,35000,severe_slow,healthy,1,11.8,11.7,11.9,16.3,16.1,16.6,18.4,18,18.8,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3917.5,3869,3984,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,7,35000,40000,severe_slow,healthy,1,11.8,11.8,11.9,16.3,16.1,16.4,18.3,17.8,18.6,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3914,3871,3972,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,8,40000,45000,severe_slow,healthy,1,11.8,11.7,11.9,16.3,16.1,16.5,18.35,18,18.6,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3919,3861,3982,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,9,45000,50000,recovery,mild_slow,1,12.4,12.3,12.5,19.35,19,19.6,22.9,22.4,24,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4207.5,4143,4283,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,10,50000,55000,recovery,mild_slow,1,12.4,12.3,12.5,19.4,19.1,19.6,23,22.4,23.9,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4204,4162,4236,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,11,55000,60000,healthy,severe_slow,1,11.5,11.5,11.6,15.9,15.8,16.1,18,17.7,18.2,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4516.5,4473,4566,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,12,60000,65000,healthy,severe_slow,1,11.5,11.5,11.6,15.9,15.7,16.1,18.05,17.6,18.4,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4515,4471,4574,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,13,65000,70000,healthy,severe_slow,1,11.6,11.5,11.6,15.9,15.8,16.1,18.1,17.5,18.4,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4509.5,4482,4577,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,14,70000,75000,mild_slow,recovery,1,12.5,12.4,12.7,19.45,19.1,19.8,23.1,22.5,23.8,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3947.5,3886,3992,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,15,75000,80000,recovery,recovery,0,11.8,11.7,11.9,16.6,16.4,17,19.1,18.6,19.7,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4083,4031,4117,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,16,80000,85000,healthy,healthy,0,10.7,10.6,10.8,14,13.9,14.1,15.4,15.3,15.6,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3997.5,3954,4045,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,17,85000,90000,healthy,healthy,0,10.7,10.6,10.8,14,13.9,14.1,15.5,15.3,15.6,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,3999.5,3942,4077,0,0,0,0,0,0,0,0,0
