scenario_id,strategy_id,strategy_kind,migration_recall_pct,default_migration_recall_pct,migration_recall_improvement_vs_default,migration_false_positives_total,migration_fp_rate_pct,migration_false_positives_max_seed,migrated_bytes_median,full_disk_bytes,post_warmup_p99_delta_vs_default,severe_window_p99_delta_vs_default,health_tdr_bw_ratio,pre_slowdown_migrations,passes_smoke_gate
stress_20pct,threshold_d4_a005,threshold_alpha,1.119872,0.345805,3.23845,0,0,0,274432,24576000,-0.4,-1.2,0.166667,0,0
stress_20pct,threshold_d6_a005,threshold_alpha,0.722988,0.345805,2.090738,0,0,0,176128,24576000,-0.3,-0.8,0.166667,0,0
stress_20pct,threshold_d8_a005,threshold_alpha,0.551575,0.345805,1.595047,0,0,0,131072,24576000,-0.1,-0.4,0.185185,0,0
stress_20pct,threshold_d2_a010,threshold_alpha,2.436054,0.345805,7.044588,0,0,0,585728,24576000,-1,-2.9,0.12963,0,1
stress_20pct,threshold_d4_a010,threshold_alpha,1.33402,0.345805,3.857725,0,0,0,315392,24576000,-0.5,-1.5,0.148148,0,0
stress_20pct,threshold_d6_a010,threshold_alpha,0.815186,0.345805,2.357359,0,0,0,200704,24576000,-0.3,-1,0.166667,0,0
stress_20pct,threshold_d8_a010,threshold_alpha,0.591716,0.345805,1.711126,0,0,0,139264,24576000,-0.2,-0.7,0.166667,0,0
stress_20pct,evidence_w2_d4,window_evidence,1.305767,0.345805,3.776022,0,0,0,315392,24576000,-0.5,-1.5,0.166667,0,0
stress_20pct,evidence_w2_d6,window_evidence,0.809347,0.345805,2.340473,0,0,0,200704,24576000,-0.3,-1,0.185185,0,0
stress_20pct,evidence_w3_d4,window_evidence,1.01819,0.345805,2.944406,0,0,0,319488,24576000,-0.5,-1.5,0.166667,0,0
stress_20pct,evidence_w3_d6,window_evidence,0.632082,0.345805,1.827858,0,0,0,196608,24576000,-0.3,-1,0.185185,0,0
stress_20pct,topk_k2_d4,topk_budgeted,0.238284,0.345805,0.689071,22,34.375,8,102400,24576000,0,0.3,0.222222,0,0
stress_20pct,topk_k2_d6,topk_budgeted,0.238284,0.345805,0.689071,18,30,6,98304,24576000,0,0.3,0.222222,0,0
stress_20pct,topk_k4_d4,topk_budgeted,0.478251,0.345805,1.383008,36,30,12,196608,24576000,-0.3,-0.3,0.185185,0,0
stress_20pct,topk_k4_d6,topk_budgeted,0.478115,0.345805,1.382614,15,15.151515,6,167936,24576000,-0.3,-0.4,0.185185,0,0
stress_20pct,hybrid_w2_k2_d4_c1,hybrid,0.170068,0.345805,0.491803,26,46.428571,10,90112,24576000,0,0.9,0.222222,0,0
stress_20pct,hybrid_w2_k4_d4_c1,hybrid,0.340909,0.345805,0.985842,44,42.307692,15,176128,24576000,-0.3,0,0.203704,0,0
