name,scenario_id,seed,kind,returncode,stderr_empty,stdout_lines
realistic_2pct_seed42_hybrid_w2_k4_d4_c1_migration_trace,realistic_2pct,42,migration_trace,0,1,13
realistic_2pct_seed43_vanilla_ec_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_vanilla_ec_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_late_binding_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_late_binding_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_timeout_degraded_read_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_timeout_degraded_read_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_t28_default_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_t28_default_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_t28_default_migration_trace,realistic_2pct,43,migration_trace,0,1,5
realistic_2pct_seed43_migration_disabled_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_migration_disabled_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_migration_disabled_migration_trace,realistic_2pct,43,migration_trace,0,1,1
realistic_2pct_seed43_threshold_d2_a005_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d2_a005_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d2_a005_migration_trace,realistic_2pct,43,migration_trace,0,1,22
realistic_2pct_seed43_threshold_d4_a005_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d4_a005_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d4_a005_migration_trace,realistic_2pct,43,migration_trace,0,1,12
realistic_2pct_seed43_threshold_d6_a005_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d6_a005_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d6_a005_migration_trace,realistic_2pct,43,migration_trace,0,1,9
realistic_2pct_seed43_threshold_d8_a005_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d8_a005_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d8_a005_migration_trace,realistic_2pct,43,migration_trace,0,1,7
realistic_2pct_seed43_threshold_d2_a010_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d2_a010_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d2_a010_migration_trace,realistic_2pct,43,migration_trace,0,1,23
realistic_2pct_seed43_threshold_d4_a010_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d4_a010_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d4_a010_migration_trace,realistic_2pct,43,migration_trace,0,1,13
realistic_2pct_seed43_threshold_d6_a010_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d6_a010_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d6_a010_migration_trace,realistic_2pct,43,migration_trace,0,1,9
realistic_2pct_seed43_threshold_d8_a010_csv,realistic_2pct,43,csv,0,1,2
realistic_2pct_seed43_threshold_d8_a010_windowed_csv,realistic_2pct,43,windowed_csv,0,1,21
realistic_2pct_seed43_threshold_d8_a010_migration_trace,realistic_2pct,43,migration_trace,0,1,7
realistic_2pct_seed43_evidence_w2_d4_csv,realistic_2pct,43,csv,0,1,2
