candidate_id,row_type,grid_name,a_abs,b_abs,theta_s,theta_d,seeds,num_runs,feasible,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,post_warmup_windowed_p99_ms_sum,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,severe_window_p99_ms_sum,post_warmup_p99_gap_to_tdr_ms_median,post_warmup_p99_gap_to_tdr_ms_min,post_warmup_p99_gap_to_tdr_ms_max,post_warmup_p99_gap_to_tdr_ms_sum,post_warmup_p99_gap_to_tdr_pct_median,post_warmup_p99_gap_to_tdr_pct_min,post_warmup_p99_gap_to_tdr_pct_max,post_warmup_p99_gap_to_tdr_pct_sum,severe_window_p99_gap_to_tdr_ms_median,severe_window_p99_gap_to_tdr_ms_min,severe_window_p99_gap_to_tdr_ms_max,severe_window_p99_gap_to_tdr_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,bandwidth_vs_tdr_ratio_median,bandwidth_vs_tdr_ratio_min,bandwidth_vs_tdr_ratio_max,bandwidth_vs_tdr_ratio_sum,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_eligible_events_sum,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_triggered_events_sum,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,read_bypass_coverage_pct_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,migration_precision_pct_median,migration_precision_pct_min,migration_precision_pct_max,migration_precision_pct_sum,migration_recall_pct_median,migration_recall_pct_min,migration_recall_pct_max,migration_recall_pct_sum,migration_fp_rate_pct_median,migration_fp_rate_pct_min,migration_fp_rate_pct_max,migration_fp_rate_pct_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,post_warmup_gap_reduction_vs_t26_pct_median,post_warmup_gap_reduction_vs_t26_pct_min,post_warmup_gap_reduction_vs_t26_pct_max,post_warmup_gap_reduction_vs_t26_pct_sum
expanded|A=15|B=10|S=0.01|D=12,candidate,expanded,15,10,0.01,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19,188.8,18.8,18.8,18.8,188,-10.35,-10.5,-10.1,-103.2,-35.384,-35.836,-34.708,-353.415,-12.35,-12.5,-12.2,-123.4,5.15,5.1,5.3,51.8,0.49,0.481,0.505,4.919,14997,14821,15076,149533,14553.5,14416,14695,145303,97.1,96.8,97.5,971.7,6,6,6,60,6,6,6,60,0,0,0,0,701,692,712,7015,100,100,100,1000,0.849,0.836,0.86,8.481,0,0,0,0,51.5,0,316,809,5297.5,5200,5372,52896,217.614,214.773,219.318,2172.727
expanded|A=15|B=15|S=0.01|D=12,candidate,expanded,15,15,0.01,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19.1,189.3,18.8,18.7,18.9,187.9,-10.3,-10.5,-10,-102.7,-35.274,-35.836,-34.364,-351.702,-12.4,-12.5,-12.2,-123.5,4.8,4.7,5,48,0.457,0.448,0.472,4.558,15344.5,15049,15902,153356,14907,14639,15425,149112,97.2,97,97.5,972.5,6,6,7,61,6,6,7,61,0,0,0,0,701.5,692,712,7017,100,100,100,1000,0.85,0.836,0.975,8.617,0,0,0,0,33.5,0,63,332,5231,5158,5313,52420,217.045,213.636,219.318,2167.045
expanded|A=15|B=20|S=0.01|D=16,candidate,expanded,15,20,0.01,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.9,19.1,189.4,18.8,18.7,18.8,187.9,-10.3,-10.4,-10,-102.6,-35.274,-35.495,-34.364,-351.361,-12.4,-12.5,-12.2,-123.5,4.95,4.9,5.2,49.8,0.469,0.462,0.495,4.729,16357.5,15968,17211,164276,15916,15591,16769,159977,97.35,97.1,97.6,973.6,6,6,6,60,6,6,6,60,0,0,0,0,703.5,694,714,7036,100,100,100,1000,0.846,0.833,0.857,8.456,0,0,0,0,33.5,0,58,326,5126,5046,5220,51134,217.045,213.636,218.182,2165.909
expanded|A=15|B=20|S=0.01|D=24,candidate,expanded,15,20,0.01,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19.1,189.3,18.8,18.7,18.9,187.9,-10.3,-10.4,-10,-102.7,-35.274,-35.616,-34.364,-351.705,-12.4,-12.5,-12.2,-123.5,5.6,5.6,5.8,56.6,0.533,0.528,0.552,5.375,18827,18627,19102,188260,18373,18209,18688,183960,97.7,97.5,98,977.2,4,4,4,40,4,4,4,40,0,0,0,0,708.5,699,720,7088,100,100,100,1000,0.561,0.552,0.569,5.612,0,0,0,0,33.5,0,58,326,5817,5655,6002,58309,217.045,213.636,218.182,2167.045
primary|A=15|B=10|S=0.03|D=12,candidate,primary,15,10,0.03,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19.1,189.3,18.8,18.8,18.9,188.2,-10.3,-10.5,-10,-102.7,-35.274,-35.836,-34.364,-351.703,-12.35,-12.5,-12.1,-123.2,4.8,4.8,4.9,48.4,0.457,0.453,0.467,4.596,14996.5,14821,15076,149535,14522,14387,14676,145066,97,96.7,97.4,970.1,6,6,6,60,6,6,6,60,0,0,0,0,701,692,712,7015,100,100,100,1000,0.849,0.836,0.86,8.481,0,0,0,0,45,0,306,722,5297.5,5192,5368,52876,217.045,213.636,219.318,2167.045
expanded|A=15|B=10|S=0.03|D=12,candidate,expanded,15,10,0.03,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19.1,189.3,18.8,18.8,18.9,188.2,-10.3,-10.5,-10,-102.7,-35.274,-35.836,-34.364,-351.703,-12.35,-12.5,-12.1,-123.2,4.8,4.8,4.9,48.4,0.457,0.453,0.467,4.596,14996.5,14821,15076,149535,14522,14387,14676,145066,97,96.7,97.4,970.1,6,6,6,60,6,6,6,60,0,0,0,0,701,692,712,7015,100,100,100,1000,0.849,0.836,0.86,8.481,0,0,0,0,45,0,306,722,5297.5,5192,5368,52876,217.045,213.636,219.318,2167.045
expanded|A=15|B=10|S=0.02|D=12,candidate,expanded,15,10,0.02,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19.1,189.1,18.8,18.8,18.8,188,-10.3,-10.5,-10,-102.9,-35.274,-35.836,-34.364,-352.388,-12.35,-12.5,-12.2,-123.4,4.95,4.9,5.1,49.7,0.469,0.462,0.486,4.72,14997,14821,15076,149534,14550,14415,14695,145285,97.1,96.8,97.5,971.7,6,6,6,60,6,6,6,60,0,0,0,0,701,692,712,7015,100,100,100,1000,0.849,0.836,0.86,8.481,0,0,0,0,47.5,0,310,767,5297.5,5200,5372,52891,217.045,213.636,219.318,2169.318
primary|A=15|B=10|S=0.03|D=16,candidate,primary,15,10,0.03,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.9,19,189.4,18.8,18.8,18.9,188.1,-10.3,-10.4,-10.1,-102.6,-35.214,-35.495,-34.708,-351.365,-12.35,-12.5,-12.2,-123.3,5,4.9,5.2,50.1,0.474,0.462,0.495,4.758,15584.5,14979,15906,155391,15110,14591,15504,150906,97.1,96.8,97.5,971.1,6,6,6,60,6,6,6,60,0,0,0,0,701.5,692,714,7027,100,100,100,1000,0.848,0.833,0.86,8.467,0,0,0,0,45,0,306,722,5313.5,5192,5553,53234,217.045,214.773,218.182,2165.909
expanded|A=15|B=10|S=0.03|D=16,candidate,expanded,15,10,0.03,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.9,19,189.4,18.8,18.8,18.9,188.1,-10.3,-10.4,-10.1,-102.6,-35.214,-35.495,-34.708,-351.365,-12.35,-12.5,-12.2,-123.3,5,4.9,5.2,50.1,0.474,0.462,0.495,4.758,15584.5,14979,15906,155391,15110,14591,15504,150906,97.1,96.8,97.5,971.1,6,6,6,60,6,6,6,60,0,0,0,0,701.5,692,714,7027,100,100,100,1000,0.848,0.833,0.86,8.467,0,0,0,0,45,0,306,722,5313.5,5192,5553,53234,217.045,214.773,218.182,2165.909
expanded|A=15|B=10|S=0.02|D=16,candidate,expanded,15,10,0.02,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,18.9,18.8,19,189.2,18.8,18.7,18.8,187.9,-10.3,-10.5,-10.1,-102.8,-35.274,-35.836,-34.708,-352.048,-12.35,-12.5,-12.2,-123.5,5.1,5,5.4,51.6,0.486,0.476,0.514,4.9,15403,14979,15906,155026,14959,14607,15523,150769,97.25,97,97.6,972.5,6,6,6,60,6,6,6,60,0,0,0,0,701.5,692,714,7025,100,100,100,1000,0.848,0.833,0.86,8.469,0,0,0,0,47.5,0,310,767,5313.5,5200,5459,53066,217.045,214.773,219.318,2168.182
