scenario,source_boundary,rows,seed_min,seed_max,num_disks,num_stripes,k,m,shard_size_bytes,health_ec_migrated_shards_median,health_ec_migrated_shards_min,health_ec_migrated_shards_max,health_ec_migrated_shards_total,health_ec_migrated_bytes_median,health_ec_migrated_bytes_min,health_ec_migrated_bytes_max,health_ec_migrated_bytes_total,full_disk_migrated_disks_median,full_disk_bytes_median,stripe_level_migrated_stripes_median,stripe_level_bytes_median,health_ec_cost_ratio_median,health_ec_cost_ratio_min,health_ec_cost_ratio_max,full_disk_cost_multiplier_median,full_disk_cost_multiplier_min,full_disk_cost_multiplier_max,stripe_level_cost_ratio_median,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,affected_hot_shards_median
dynamic_realistic_100d_2pct_hdd,smoke-only,1,42,42,100,5000,4,2,4096,4,4,4,4,16384,16384,16384,16384,2,2457600,2,49152,0.006667,0.006667,0.006667,150,150,150,0.02,4,0,585,589
dynamic_stress_100d_20pct_hdd,formal,30,42,71,100,5000,4,2,4096,21,20,24,626,86016,81920,98304,2564096,20,24576000,6,147456,0.0035,0.003333,0.004,285.714286,250,300,0.006,624,0,175536,5883.5
