scenario,policy,seeds,num_runs,timeout_ms,p99_ms_median,p99_ms_min,p99_ms_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,post_onset_p99_auc_ms_median,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,read_bypass_coverage_pct_median,read_bypass_eligible_events_median,read_bypass_triggered_events_median,pre_slowdown_parity_reads_median,recovery_parity_reads_median,migration_triggers_total,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
dynamic_degradation,vanilla_ec,42..71,30,15,91.25,90.2,92.4,43.9,42.8,45.8,548.1,543.4,551.4,3332.5,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1
dynamic_degradation,late_binding,42..71,30,15,19.2,19.1,19.3,18.1,18,18.2,18.2,18,18.3,50.3,25,25,25,-1,-1,-1,15000,10439.5,0,-1,-1,-1,-1,-1
dynamic_degradation,timeout_degraded_read,42..71,30,15,29.6,29.5,29.7,29.2,28.9,29.4,31.1,30.9,31.3,142.8,10.5,10.5,10.6,-1,-1,-1,2437.5,8970,0,-1,-1,-1,-1,-1
dynamic_degradation,health_ec,42..71,30,15,22.8,22.3,23.8,19.15,18.9,19.7,18.9,18.7,19.1,88.25,4.3,4.2,4.4,90.95,15325.5,13951.5,0,5162.5,181,181,0,21018,100,0.854
