scenario,policy,seeds,num_runs,timeout_ms,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,migration_triggers_total,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
dynamic_degradation,vanilla_ec,42..71,30,15,14,14,14.1,65.2,64.9,65.8,91.25,90.2,92.4,0,0,0,504.45,499.5,507.8,3332.5,3303.1,3404.3,400000,400000,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,43.9,42.8,45.8,548.1,543.4,551.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dynamic_degradation,late_binding,42..71,30,15,11.4,11.4,11.4,16.15,16.1,16.2,19.2,19.1,19.3,79,78.7,79.2,37.45,35.8,38.7,50.3,48.4,53,500000,500000,500000,25,25,25,100000,100000,100000,15000,15000,15000,10439.5,10285,10594,100000,100000,100000,81447.5,81324,81756,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,8,28668,28495,29034,18.1,18,18.2,18.2,18,18.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dynamic_degradation,timeout_degraded_read,42..71,30,15,14,14,14.1,26.5,26.4,26.5,29.6,29.5,29.7,67.55,67.1,67.9,132.5,130.2,134.1,142.8,139.5,146.5,442104,441847,442498,10.5,10.5,10.6,42104,41847,42498,2437.5,2350,2541,8970,8806,9124,42104,41847,42498,23453,23187,23778,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,10,2,0,13,18390.5,18244,18630,29.2,28.9,29.4,31.1,30.9,31.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dynamic_degradation,health_ec,42..71,30,15,12.6,12.6,12.6,17.4,17.4,17.5,22.8,22.3,23.8,74.95,73.8,75.8,22.2,19.9,25.9,88.25,81.7,95.3,417040,416602,417492,4.3,4.2,4.4,17040,16602,17492,0,0,0,5162.5,5001,5309,17040,16602,17492,16647.5,16216,17077,6,6,7,6,6,7,0,0,0,702,677,718,27.5,7,95,27.5,7,95,10058.5,9937,10237,19.15,18.9,19.7,18.9,18.7,19.1,15325.5,14956,15756,13951.5,13512,14402,90.95,89.7,91.7,181,181,0,21018,100,0.854
