candidate_id,row_type,grid_name,a_abs,b_abs,theta_s,theta_d,seeds,num_runs,feasible,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,post_warmup_windowed_p99_ms_sum,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,severe_window_p99_ms_sum,post_warmup_p99_gap_to_tdr_ms_median,post_warmup_p99_gap_to_tdr_ms_min,post_warmup_p99_gap_to_tdr_ms_max,post_warmup_p99_gap_to_tdr_ms_sum,post_warmup_p99_gap_to_tdr_pct_median,post_warmup_p99_gap_to_tdr_pct_min,post_warmup_p99_gap_to_tdr_pct_max,post_warmup_p99_gap_to_tdr_pct_sum,severe_window_p99_gap_to_tdr_ms_median,severe_window_p99_gap_to_tdr_ms_min,severe_window_p99_gap_to_tdr_ms_max,severe_window_p99_gap_to_tdr_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,bandwidth_vs_tdr_ratio_median,bandwidth_vs_tdr_ratio_min,bandwidth_vs_tdr_ratio_max,bandwidth_vs_tdr_ratio_sum,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_eligible_events_sum,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_triggered_events_sum,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,read_bypass_coverage_pct_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,migration_precision_pct_median,migration_precision_pct_min,migration_precision_pct_max,migration_precision_pct_sum,migration_recall_pct_median,migration_recall_pct_min,migration_recall_pct_max,migration_recall_pct_sum,migration_fp_rate_pct_median,migration_fp_rate_pct_min,migration_fp_rate_pct_max,migration_fp_rate_pct_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,post_warmup_gap_reduction_vs_t26_pct_median,post_warmup_gap_reduction_vs_t26_pct_min,post_warmup_gap_reduction_vs_t26_pct_max,post_warmup_gap_reduction_vs_t26_pct_sum
t2_8_2_5|A=45|B=30|S=0.04|D=16,candidate,t2_8_2_3,45,30,0.04,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.45,29.4,37.9,348.2,43.65,38.6,46.8,430.1,6.2,0.1,8.6,56.2,21.199,0.341,29.352,192.563,12.5,7.4,15.8,118.7,3.5,3.4,3.7,34.9,0.332,0.321,0.352,3.315,21106.5,19678,21226,209191,12360.5,11779,12886,122903,58.8,56.4,60.7,587.5,6,6,6,60,6,5,6,56,0,0,0,0,707.5,699,718,7080,100,100,100,1000,0.831,0.693,0.851,7.848,0,0,0,0,0,0,0,0,3446,3389,3750,34939,29.545,2.273,98.864,361.364
t2_8_2_5|A=35|B=25|S=0.07|D=24,candidate,t2_8_2_3,35,25,0.07,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.45,31.2,37.4,349.1,55.55,49.4,57.7,549.6,6.35,1.9,8.3,57.1,21.821,6.485,28.522,195.605,24.35,18.3,26.6,238.2,4.2,4,4.6,42.3,0.398,0.377,0.438,4.017,21230,20130,22462,212532,15012,14208,16508,152394,71.85,69.6,75.1,716.8,4,4,4,40,4,3,4,39,0,0,0,0,709,700,721,7099,100,100,100,1000,0.559,0.421,0.568,5.464,0,0,0,0,0,0,0,0,4038.5,3821,4288,40395,27.841,5.682,78.409,351.136
t2_8_2_5|A=35|B=25|S=0.07|D=32,candidate,t2_8_2_3,35,25,0.07,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.45,31.2,37.8,350.7,55.9,49.4,57.7,551,6.35,1.9,8.7,58.7,21.821,6.485,29.897,201.077,24.7,18.3,26.7,239.6,4.5,4.4,4.6,44.9,0.425,0.419,0.438,4.264,22218,22062,22631,222674,16178,15666,16607,161303,72.5,70.3,75.1,724.4,4,4,4,40,4,4,4,40,0,0,0,0,711,701,721,7109,100,100,100,1000,0.559,0.552,0.567,5.596,0,0,0,0,0,0,0,0,4044,3841,4231,40396,27.841,1.136,78.409,332.955
t2_8_2_5|A=45|B=10|S=0.07|D=12,candidate,t2_8_2_3,45,10,0.07,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.6,31.4,37.6,351.1,55.45,49.8,57,543.7,6.4,2.3,8.3,59.1,21.918,7.904,28.522,202.322,24.25,18.8,26,232.3,3.5,3.4,3.7,35.3,0.333,0.324,0.349,3.352,15521.5,15252,16068,155518,11267,10621,11656,112127,71.9,67.9,76.4,721.1,6,6,6,60,6,6,6,60,0,0,0,0,701,692,712,7015,100,100,100,1000,0.849,0.836,0.86,8.481,0,0,0,0,0,0,0,0,4974,4902,5056,49802,27.273,5.682,73.864,328.409
t2_8_2_5|A=35|B=30|S=0.05|D=32,candidate,t2_8_2_3,35,30,0.05,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.6,33.2,38.2,356.6,38.5,31.6,44.9,386.8,6.4,3.9,9,64.6,21.906,13.311,30.822,221.174,7.4,0.5,13.9,75.4,4,3.9,4.1,39.7,0.377,0.371,0.39,3.77,22332.5,22073,23012,224536,14126,13813,14693,141522,63,61.5,65.3,630.3,4,4,4,40,4,4,4,40,0,0,0,0,711,701,721,7111,100,100,100,1000,0.559,0.552,0.567,5.594,0,0,0,0,0,0,0,0,3695,3381,3894,36832,27.273,-2.273,55.682,265.909
t2_8_2_5|A=20|B=30|S=0.1|D=12,candidate,t2_8_2_3,20,30,0.1,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.65,32.6,36.8,355.2,57.7,55.3,60.2,577.9,6.45,3.4,7.5,63.2,22.052,11.644,25.773,216.447,26.5,24.2,29,266.5,4.1,3.8,4.5,40.7,0.387,0.362,0.429,3.865,18858.5,17843,20479,189229,14958,13939,16415,149123,78.5,77.9,80.2,787.9,6,6,6,60,6,5,6,58,0,0,0,0,705,696,718,7059,100,100,100,1000,0.844,0.692,0.855,8.154,0,0,0,0,0,0,0,0,3183,3093,3250,31860,26.705,14.773,61.364,281.818
t2_8_2_5|A=20|B=30|S=0.1|D=16,candidate,t2_8_2_3,20,30,0.1,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.9,32.6,36.8,357,57.6,55.3,60.2,576.9,6.7,3.4,7.7,65,22.945,11.644,26.46,222.63,26.4,24.2,29,265.5,4.55,4.2,4.8,45,0.431,0.396,0.457,4.274,21003.5,19436,21493,207005,16790.5,15485,17344,165429,79.75,78.8,80.7,799,6,6,6,60,5,4,6,51,0,0,0,0,706.5,698,718,7077,100,100,100,1000,0.706,0.555,0.847,7.157,0,0,0,0,0,0,0,0,3184.5,3090,3403,32086,23.864,12.5,61.364,261.364
t2_8_2_5|A=20|B=30|S=0.1|D=32,candidate,t2_8_2_3,20,30,0.1,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36,32.5,36.8,357.8,57.65,55.3,60.8,578.1,6.75,3.3,7.7,65.8,23.077,11.301,26.46,225.362,26.45,24.2,29.6,266.7,5,4.9,5.2,50,0.474,0.467,0.491,4.748,22400.5,22088,23009,224539,18227,17836,18740,182293,81.4,80.5,81.7,811.8,4,4,4,40,4,4,4,40,0,0,0,0,710.5,702,722,7112,100,100,100,1000,0.56,0.551,0.567,5.593,0,0,0,0,0,0,0,0,3743.5,3563,3939,37392,23.295,12.5,62.5,252.273
t2_8_2_5|A=50|B=25|S=0.04|D=32,candidate,t2_8_2_3,50,25,0.04,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,35.9,30.6,36.9,349.6,52.1,45.3,54.5,510.5,6.75,1.3,7.6,57.6,23.155,4.437,26.027,197.297,20.95,14.1,23.3,199.1,4.65,4.4,4.8,46.5,0.441,0.419,0.457,4.416,22198,21994,22550,222043,16374.5,15449,17046,163760,73.4,69.2,77.1,737.6,4,4,4,40,4,4,4,40,0,0,0,0,711,701,721,7108,100,100,100,1000,0.559,0.552,0.567,5.596,0,0,0,0,0,0,0,0,4628,4430,4816,46229,23.295,13.636,85.227,345.455
t2_8_2_5|A=60|B=10|S=0.04|D=24,candidate,t2_8_2_3,60,10,0.04,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.05,27.2,37.8,347.9,56.3,52.6,60.4,561,6.85,-1.9,8.5,55.9,23.459,-6.529,29.01,191.365,25.15,21.4,29.2,249.6,4.25,4.1,4.5,42.6,0.403,0.39,0.429,4.046,17374.5,17174,17673,174107,13001.5,12336,13635,130149,74.2,70.4,79.1,747.7,4,4,4,40,4,4,4,40,0,0,0,0,706,697,717,7065,100,100,100,1000,0.563,0.555,0.571,5.63,0,0,0,0,0,0,0,0,5718.5,5555,5800,57113,22.159,3.409,121.591,364.773
t2_8_2_5|A=60|B=10|S=0.04|D=32,candidate,t2_8_2_3,60,10,0.04,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.05,27.2,37.8,347.9,56.3,51.8,60.4,559.4,6.85,-1.9,8.5,55.9,23.459,-6.529,29.01,191.365,25.15,20.6,29.2,248,4.4,4.3,4.7,44.4,0.419,0.41,0.443,4.216,18343.5,17310,18625,181307,13695.5,13165,14539,137321,75.2,71.8,79.1,757.6,4,4,4,40,4,4,4,40,0,0,0,0,706.5,697,719,7070,100,100,100,1000,0.563,0.553,0.571,5.626,0,0,0,0,0,0,0,0,5745,5557,5963,57372,22.159,3.409,121.591,364.773
t2_8_2_5|A=30|B=20|S=0.1|D=12,candidate,t2_8_2_3,30,20,0.1,12,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.05,34.3,37.3,359.8,61.95,59.8,64.3,619.6,6.85,5.1,8,67.8,23.459,17.466,27.304,232.193,30.8,28.7,33.1,308.2,3.4,3.3,3.4,33.6,0.321,0.311,0.324,3.191,16018,15851,16364,160246,12065,11776,12280,120702,75.45,73.4,77.2,753.2,6,6,6,60,6,6,6,60,0,0,0,0,703.5,694,714,7036,100,100,100,1000,0.846,0.833,0.857,8.456,0,0,0,0,0,0,0,0,3861.5,3761,3934,38536,22.159,9.091,42.045,229.545
t2_8_2_5|A=30|B=20|S=0.1|D=24,candidate,t2_8_2_3,30,20,0.1,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.15,34.1,37.5,360.5,61.95,59.8,64.1,619.1,6.9,4.9,8.2,68.5,23.589,16.781,27.986,234.59,30.8,28.7,32.9,307.7,4.15,4.1,4.3,41.7,0.393,0.387,0.41,3.96,18835.5,18617,19254,188863,14926.5,14644,15335,149684,79.5,77,80.5,792.7,4,4,4,40,4,4,4,40,0,0,0,0,708,699,720,7088,100,100,100,1000,0.562,0.552,0.569,5.612,0,0,0,0,0,0,0,0,4474,4312,4540,44556,21.591,6.818,44.318,221.591
t2_8_2_5|A=30|B=20|S=0.1|D=32,candidate,t2_8_2_3,30,20,0.1,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.15,34.3,37.7,360.7,62,59.8,64.3,619.9,6.9,5.1,8.4,68.7,23.589,17.466,28.669,235.272,30.8,28.7,33.1,308.5,4.25,4.1,4.5,42.7,0.403,0.39,0.425,4.055,19208.5,18825,20000,192833,15324.5,14796,16130,153446,79.65,77.7,81.2,795.5,4,4,4,40,4,4,4,40,0,0,0,0,708,699,719,7087,100,100,100,1000,0.562,0.553,0.569,5.613,0,0,0,0,0,0,0,0,4474,4374,4520,44560,21.591,4.545,42.045,219.318
t2_8_2_5|A=20|B=30|S=0.1|D=24,candidate,t2_8_2_3,20,30,0.1,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.05,32.7,36.8,358.4,57.65,55.3,60.3,577.6,6.9,3.5,7.7,66.4,23.63,11.986,26.46,227.417,26.45,24.2,29.1,266.2,4.9,4.8,5.2,49.3,0.467,0.457,0.491,4.682,22084,21844,23149,221990,17905.5,17590,18672,179805,81.15,80.4,81.4,809.9,4,4,4,40,4,4,4,40,0,0,0,0,710.5,701,723,7109,100,100,100,1000,0.56,0.55,0.567,5.596,0,0,0,0,0,0,0,0,3743,3567,3913,37214,21.591,12.5,60.227,245.455
t2_8_2_5|A=30|B=20|S=0.1|D=16,candidate,t2_8_2_3,30,20,0.1,16,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,0,36.15,34.3,37.3,359.9,61.95,59.5,64.3,619.4,6.95,5.1,8,67.9,23.76,17.466,27.304,232.537,30.8,28.4,33.1,308,3.5,3.4,3.5,34.6,0.33,0.321,0.333,3.286,16426,16236,16668,164082,12598,12152,12676,124649,76.2,73.7,77.6,759.6,6,6,6,60,6,6,6,60,0,0,0,0,703,694,714,7036,100,100,100,1000,0.846,0.833,0.857,8.456,0,0,0,0,0,0,0,0,3833,3790,3930,38544,21.023,9.091,42.045,228.409
