scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_degradation,late_binding,42..71,30,15,17,85000,90000,healthy,healthy,0,10.7,10.7,10.8,14,13.9,14.2,15.5,15.2,15.7,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4000.5,3964,4048,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,18,90000,95000,healthy,healthy,0,10.7,10.6,10.8,14,13.9,14.2,15.4,15.2,15.7,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4005.5,3948,4063,0,0,0,0,0,0,0,0,0
dynamic_degradation,late_binding,42..71,30,15,19,95000,100000,healthy,healthy,0,10.7,10.6,10.7,14,13.9,14.1,15.5,15.2,15.6,25000,25000,25000,25,25,25,5000,5000,5000,5000,5000,5000,4009.5,3944,4066,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,0,0,5000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.5,17,18.7,18.4,19,20810,20747,20842,4,3.7,4.2,810,747,842,810,747,842,19,11,26,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,1,5000,10000,healthy,healthy,0,12.5,12.4,12.6,16.8,16.6,16.9,18.8,18.4,19.2,20821.5,20732,20855,4.1,3.7,4.3,821.5,732,855,821.5,732,855,16.5,12,26,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,2,10000,15000,healthy,healthy,0,12.5,12.3,12.6,16.8,16.7,17,18.7,18.5,19,20810.5,20776,20901,4.05,3.9,4.5,810.5,776,901,810.5,776,901,21,13,27,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,3,15000,20000,mild_slow,healthy,1,15.6,15.3,16,26.4,26.1,26.8,29.1,28.7,29.7,22682.5,22618,22784,13.4,13.1,13.9,2682.5,2618,2784,2682.5,2618,2784,1317.5,1273,1376,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,4,20000,25000,mild_slow,healthy,1,15.7,15.4,15.9,26.4,26,26.6,29.1,28.7,29.5,22716,22643,22755,13.6,13.2,13.8,2716,2643,2755,2716,2643,2755,1333.5,1266,1397,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,5,25000,30000,mild_slow,healthy,1,15.7,15.5,15.9,26.4,26,26.7,29.1,28.6,29.4,22708.5,22659,22756,13.55,13.3,13.8,2708.5,2659,2756,2708.5,2659,2756,1323,1269,1386,0,0,0,0,0,0,0,0,0
dynamic_degradation,timeout_degraded_read,42..71,30,15,6,30000,35000,severe_slow,healthy,1,18,17.4,18.9,28.5,28.1,28.7,31.1,30.7,31.4,22974.5,22912,23040,14.9,14.6,15.2,2974.5,2912,3040,2974.5,2912,3040,2510,2435,2597,0,0,0,0,0,0,0,0,0
