case_id,sensitivity_axis,sensitivity_value,scenario,zipf_s,slowdown_scale,policy,seeds,num_runs,timeout_ms,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
slow_ratio_10pct,slow_ratio,10pct,dynamic_sensitivity_100d_10pct_hdd,1,1,timeout_degraded_read,42..71,30,15,12.6,12.6,12.6,18.2,18.2,18.3,52.25,51.7,53,19.95,19.5,20.5,87.8,79.8,97.4,397.8,396.2,400.5,4.8,4.8,4.9,193902,193247,194541,24287.5,24012,24873,10285.5,10011,10605,193902,193247,194541,23530.5,23182,24013,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.5,0,72,44.5,2,171,17314,16983,17671,32.7,32.4,33,70.75,70.3,71.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_10pct,slow_ratio,10pct,dynamic_sensitivity_100d_10pct_hdd,1,1,health_ec,42..71,30,15,12.6,12.6,12.6,17.7,17.6,17.7,41.9,41.1,43,35.7,34.5,36.9,22.9,22.1,23.8,357.95,355,361.9,0.7,0.7,0.7,26893.5,26516,27318,0,0,0,7323.5,6970,7788,26893.5,26516,27318,22712,22295,23211,13,13,14,13,12,14,0,0,0,2920.5,2858,2989,1153,152,3505,1153,152,3505,11919.5,11507,12428,31.1,30.7,31.4,66,65.6,66.8,23088,22846,23629,17414.5,17187,17950,75.6,73.9,76.8,394,0,87679,100,0.447
slow_ratio_20pct,slow_ratio,20pct,dynamic_sensitivity_100d_20pct_hdd,1,1,vanilla_ec,42..71,30,15,12.7,12.7,12.7,23.5,23,23.8,78.5,78.3,79.1,0,0,0,394.65,390.7,398.4,611,606.1,619.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,39.8,39.4,40.2,98.65,97.7,99.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_20pct,slow_ratio,20pct,dynamic_sensitivity_100d_20pct_hdd,1,1,late_binding,42..71,30,15,10.9,10.9,10.9,19.2,18.9,19.4,64.1,63.8,64.5,18.5,18.2,18.7,332.05,328.1,334.5,468.15,466,470.3,25,25,25,1000000,1000000,1000000,150000,150000,150000,20680,20288,21035,1000000,1000000,1000000,796139,795154,796958,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,0,59,65066.5,64248,65463,32.6,32.4,32.7,75.6,75.3,75.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_20pct,slow_ratio,20pct,dynamic_sensitivity_100d_20pct_hdd,1,1,timeout_degraded_read,42..71,30,15,12.7,12.7,12.7,22.6,22.3,22.9,67,66.7,67.3,14.9,14.5,15.1,330.4,327.3,333.3,470.3,468.4,473.7,5.4,5.4,5.4,216717,215992,217617,24287.5,24012,24873,17106.5,16722,17489,216717,215992,217617,33088,32756,33479,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,0,30,16,0,152,25723.5,25335,26273,36.1,36,36.4,79,78.7,79.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slow_ratio_20pct,slow_ratio,20pct,dynamic_sensitivity_100d_20pct_hdd,1,1,health_ec,42..71,30,15,12.7,12.7,12.7,19.5,19.4,19.7,62.8,62.3,63.1,20.1,19.6,20.5,274.8,270.6,279.2,448.95,446.5,451.1,1.1,1.1,1.1,43674,42840,45242,0,0,0,10617.5,10142,11011,43674,42840,45242,35531.5,34929,36543,21,20,24,21,19,24,0,0,0,5862.5,5623,6032,477.5,146,2019,477.5,146,2185,14623.5,13932,15104,36,35.7,36.6,75.7,75.1,76.1,37065.5,36654,37673,26760,26106,27531,72.15,70.8,73.4,624,0,175536,100,0.354
zipf_0_8,zipf,0.8,dynamic_sensitivity_100d_4pct_hdd,0.8,1,vanilla_ec,42..71,30,15,12.6,12.6,12.6,17.6,17.6,17.6,45.65,44.1,46.8,0,0,0,19.2,18.4,19.8,423.9,419.3,427.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,32.5,32.2,32.8,75.45,74.6,76.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zipf_0_8,zipf,0.8,dynamic_sensitivity_100d_4pct_hdd,0.8,1,late_binding,42..71,30,15,10.8,10.8,10.8,14.6,14.6,14.6,28.7,28.3,29.2,37.1,35.5,38.3,13.8,13.4,14.1,282.8,277.7,285.9,25,25,25,1000000,1000000,1000000,150000,150000,150000,7797,7569,7937,1000000,1000000,1000000,796481.5,795936,796875,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,0,76,23223.5,22804,23523,23.6,23.3,24,54.15,53.4,54.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zipf_0_8,zipf,0.8,dynamic_sensitivity_100d_4pct_hdd,0.8,1,timeout_degraded_read,42..71,30,15,12.6,12.6,12.6,17.5,17.5,17.6,29.75,29.4,30,34.9,33,35.8,18.4,17.8,19,260.35,256.9,263.9,4.6,4.5,4.6,182281,181269,183084,24313.5,23976,24504,6266,6128,6459,182281,181269,183084,22039,21782,22352,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,76,23,0,200,11173,10963,11421,26.3,26.2,26.5,54.15,53.4,54.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
zipf_0_8,zipf,0.8,dynamic_sensitivity_100d_4pct_hdd,0.8,1,health_ec,42..71,30,15,12.6,12.5,12.6,17.3,17.3,17.4,28.3,27.8,28.6,38.1,35.9,39.3,12,11.5,12.8,246.3,241.8,250,0.5,0.5,0.5,19517,19147,20030,0,0,0,5455.5,5302,5627,19517,19147,20030,17893.5,17584,18404,6,6,6,6,6,6,0,0,0,1690,1650,1718,1146,217,2768,1146,217,2768,9172.5,8916,9386,26.25,25.8,26.7,52.2,51.6,53.3,17950.5,17638,18327,14518.5,14224,14932,80.9,79.8,82.7,180,0,50618,100,0.354
