scenario,policy,seeds,num_runs,timeout_ms,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,migration_triggers_total,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,12.7,12.7,12.7,23.5,23,23.8,78.5,78.3,79.1,0,0,0,394.65,390.7,398.4,611,606.1,619.6,4000000,4000000,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,39.8,39.4,40.2,98.65,97.7,99.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,10.9,10.9,10.9,19.2,18.9,19.4,64.1,63.8,64.5,18.5,18.2,18.7,332.05,328.1,334.5,468.15,466,470.3,5000000,5000000,5000000,25,25,25,1000000,1000000,1000000,150000,150000,150000,20680,20288,21035,1000000,1000000,1000000,796139,795154,796958,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,0,59,65066.5,64248,65463,32.6,32.4,32.7,75.6,75.3,75.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dynamic_stress_100d_20pct_hdd,timeout_degraded_read,42..71,30,15,12.7,12.7,12.7,22.6,22.3,22.9,67,66.7,67.3,14.9,14.5,15.1,330.4,327.3,333.3,470.3,468.4,473.7,4216717,4215992,4217617,5.4,5.4,5.4,216717,215992,217617,24287.5,24012,24873,17106.5,16722,17489,216717,215992,217617,33088,32756,33479,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.5,0,30,16,0,152,25723.5,25335,26273,36.1,36,36.4,79,78.7,79.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dynamic_stress_100d_20pct_hdd,health_ec,42..71,30,15,12.7,12.7,12.7,19.5,19.4,19.7,62.8,62.3,63.1,20.1,19.6,20.5,274.8,270.6,279.2,448.95,446.5,451.1,4043674,4042840,4045242,1.1,1.1,1.1,43674,42840,45242,0,0,0,10617.5,10142,11011,43674,42840,45242,35531.5,34929,36543,21,20,24,21,19,24,0,0,0,5862.5,5623,6032,477.5,146,2019,477.5,146,2185,14623.5,13932,15104,36,35.7,36.6,75.7,75.1,76.1,37065.5,36654,37673,26760,26106,27531,72.15,70.8,73.4,626,624,0,175536,100,0.354
