scenario,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,policy,p99_ms_median,p99_ms_min,p99_ms_max
dynamic_stress_100d_20pct_hdd,10,500000,550000,80,recovery,90,mild_slow,10,timeout_degraded_read,35.9,35.5,36.3
dynamic_stress_100d_20pct_hdd,11,550000,600000,80,healthy,90,severe_slow,10,timeout_degraded_read,78.85,78,79.6
dynamic_stress_100d_20pct_hdd,12,600000,650000,80,healthy,90,severe_slow,10,timeout_degraded_read,78.65,78.1,79.4
dynamic_stress_100d_20pct_hdd,13,650000,700000,80,healthy,90,severe_slow,10,timeout_degraded_read,78.8,78.2,79.6
dynamic_stress_100d_20pct_hdd,14,700000,750000,80,mild_slow,90,recovery,10,timeout_degraded_read,36.2,36,36.5
dynamic_stress_100d_20pct_hdd,15,750000,800000,80,recovery,90,recovery,0,timeout_degraded_read,23.9,23.7,24.1
dynamic_stress_100d_20pct_hdd,16,800000,850000,80,healthy,90,healthy,0,timeout_degraded_read,18.75,18.7,18.8
dynamic_stress_100d_20pct_hdd,17,850000,900000,80,healthy,90,healthy,0,timeout_degraded_read,18.7,18.6,18.9
dynamic_stress_100d_20pct_hdd,18,900000,950000,80,healthy,90,healthy,0,timeout_degraded_read,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,19,950000,1000000,80,healthy,90,healthy,0,timeout_degraded_read,18.7,18.7,18.8
dynamic_stress_100d_20pct_hdd,0,0,50000,80,healthy,90,healthy,0,health_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,1,50000,100000,80,healthy,90,healthy,0,health_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,2,100000,150000,80,healthy,90,healthy,0,health_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,3,150000,200000,80,mild_slow,90,healthy,10,health_ec,36.7,36.2,37.1
dynamic_stress_100d_20pct_hdd,4,200000,250000,80,mild_slow,90,healthy,10,health_ec,35.3,34.9,36
dynamic_stress_100d_20pct_hdd,5,250000,300000,80,mild_slow,90,healthy,10,health_ec,34.9,34.5,35.3
dynamic_stress_100d_20pct_hdd,6,300000,350000,80,severe_slow,90,healthy,10,health_ec,77.55,76.4,78.6
dynamic_stress_100d_20pct_hdd,7,350000,400000,80,severe_slow,90,healthy,10,health_ec,75.6,74.9,76.3
dynamic_stress_100d_20pct_hdd,8,400000,450000,80,severe_slow,90,healthy,10,health_ec,74.95,74.6,75.9
dynamic_stress_100d_20pct_hdd,9,450000,500000,80,recovery,90,mild_slow,10,health_ec,36.4,35.9,36.8
dynamic_stress_100d_20pct_hdd,10,500000,550000,80,recovery,90,mild_slow,10,health_ec,35.2,34.9,35.6
dynamic_stress_100d_20pct_hdd,11,550000,600000,80,healthy,90,severe_slow,10,health_ec,77.6,76.9,78.9
dynamic_stress_100d_20pct_hdd,12,600000,650000,80,healthy,90,severe_slow,10,health_ec,75.6,74.7,76.2
dynamic_stress_100d_20pct_hdd,13,650000,700000,80,healthy,90,severe_slow,10,health_ec,74.95,74.3,75.9
dynamic_stress_100d_20pct_hdd,14,700000,750000,80,mild_slow,90,recovery,10,health_ec,36,35.6,36.6
dynamic_stress_100d_20pct_hdd,15,750000,800000,80,recovery,90,recovery,0,health_ec,22.3,22.1,22.6
dynamic_stress_100d_20pct_hdd,16,800000,850000,80,healthy,90,healthy,0,health_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,17,850000,900000,80,healthy,90,healthy,0,health_ec,18.8,18.7,18.9
dynamic_stress_100d_20pct_hdd,18,900000,950000,80,healthy,90,healthy,0,health_ec,18.8,18.8,18.9
dynamic_stress_100d_20pct_hdd,19,950000,1000000,80,healthy,90,healthy,0,health_ec,18.8,18.7,18.9
