scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_stress_100d_20pct_hdd,vanilla_ec,42..71,30,15,19,950000,1000000,80,healthy,90,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,0,0,50000,80,healthy,90,healthy,0,10.7,10.7,10.7,14,14,14,15.4,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39982,39791,40257,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,1,50000,100000,80,healthy,90,healthy,0,10.7,10.7,10.7,14,14,14.1,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40008.5,39831,40187,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,2,100000,150000,80,healthy,90,healthy,0,10.7,10.7,10.7,14,14,14,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40008.5,39886,40150,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,3,150000,200000,80,mild_slow,90,healthy,10,10.9,10.9,11,25.1,24.6,25.4,32.5,32.2,32.9,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39692.5,39568,39859,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,4,200000,250000,80,mild_slow,90,healthy,10,10.9,10.9,11,25.1,24.7,25.4,32.5,32.3,33,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39718.5,39567,39860,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,5,250000,300000,80,mild_slow,90,healthy,10,10.9,10.9,11,25.15,24.8,25.5,32.6,32.4,32.9,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39711,39494,39835,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,6,300000,350000,80,severe_slow,90,healthy,10,10.9,10.9,11,58,57.3,58.9,75.7,74.8,76.6,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39678.5,39428,39850,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,7,350000,400000,80,severe_slow,90,healthy,10,10.9,10.9,11,58.1,57.1,58.5,75.7,74.8,75.9,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39668,39511,39843,0,0,0,0,0,0,0,0,0
dynamic_stress_100d_20pct_hdd,late_binding,42..71,30,15,8,400000,450000,80,severe_slow,90,healthy,10,10.9,10.9,11,57.8,57.3,58.6,75.6,74.9,76.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39676.5,39538,39966,0,0,0,0,0,0,0,0,0
