scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads
dynamic_degradation,49,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.1,26.5,29.7,67.6,132.1,143.7,442498,10.6,42498,2438,9015,42498,23778,0,0,0,-1,0,0,18480
dynamic_degradation,49,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.2,72.2,21.0,361.8,530.1,400790,0.2,790,0,5,790,778,30,30,0,664,15,15,87
dynamic_degradation,50,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.2,0.0,502.6,3328.8,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,50,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,37.4,51.2,500000,25.0,100000,15000,10457,100000,81549,0,0,0,-1,-1,1,28847
dynamic_degradation,50,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.5,133.0,144.0,442109,10.5,42109,2473,8991,42109,23483,0,0,0,-1,1,2,18486
dynamic_degradation,50,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.1,71.4,21.7,356.5,525.9,400920,0.2,920,0,5,920,894,32,32,0,639,24,24,80
dynamic_degradation,51,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.9,0.0,503.9,3314.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,51,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,79.1,36.5,48.4,500000,25.0,100000,15000,10415,100000,81646,0,0,0,-1,-1,0,28692
dynamic_degradation,51,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.8,132.0,140.1,442070,10.5,42070,2448,8921,42070,23435,0,0,0,-1,0,1,18404
dynamic_degradation,51,100000,500,1.0,20,5000,health_ec,15.0,12.8,32.4,71.5,22.2,356.4,525.5,400823,0.2,823,0,3,823,811,32,32,0,670,9,9,68
dynamic_degradation,52,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,91.2,0.0,503.4,3322.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,52,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,78.9,37.8,50.0,500000,25.0,100000,15000,10594,100000,81657,0,0,0,-1,-1,3,28783
dynamic_degradation,52,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.5,132.7,143.1,442355,10.6,42355,2437,9124,42355,23674,0,0,0,-1,3,7,18630
dynamic_degradation,52,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.9,71.3,21.8,357.3,517.3,400822,0.2,822,0,3,822,816,32,32,0,662,12,12,75
dynamic_degradation,53,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,64.9,91.7,0.0,504.2,3342.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,53,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.1,37.2,50.0,500000,25.0,100000,15000,10425,100000,81355,0,0,0,-1,-1,0,28495
dynamic_degradation,53,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,131.4,142.8,441901,10.5,41901,2439,8971,41901,23354,0,0,0,-1,0,0,18300
dynamic_degradation,53,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.7,71.3,22.2,352.3,534.1,400811,0.2,811,0,2,811,799,32,32,0,654,7,7,60
dynamic_degradation,54,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.6,91.6,0.0,504.7,3384.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,54,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.1,79.1,37.8,51.6,500000,25.0,100000,15000,10317,100000,81324,0,0,0,-1,-1,1,28540
dynamic_degradation,54,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.6,133.6,142.1,441994,10.5,41994,2364,8858,41994,23561,0,0,0,-1,1,1,18244
dynamic_degradation,54,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.9,71.6,21.9,362.9,531.9,400855,0.2,855,0,4,855,839,31,31,0,648,4,4,53
dynamic_degradation,55,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,90.3,0.0,505.1,3311.3,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,55,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.7,37.1,50.0,500000,25.0,100000,15000,10480,100000,81430,0,0,0,-1,-1,2,28745
dynamic_degradation,55,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.2,132.8,141.6,442245,10.6,42245,2511,9014,42245,23349,0,0,0,-1,2,2,18516
dynamic_degradation,55,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.5,70.7,21.8,355.8,518.5,400904,0.2,904,0,3,904,888,32,32,0,657,40,43,71
dynamic_degradation,56,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.1,0.0,504.3,3334.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,56,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,78.9,38.0,51.8,500000,25.0,100000,15000,10433,100000,81450,0,0,0,-1,-1,0,28666
dynamic_degradation,56,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,132.0,146.5,442046,10.5,42046,2401,8948,42046,23366,0,0,0,-1,0,5,18265
dynamic_degradation,56,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.9,71.3,21.8,357.0,524.8,400810,0.2,810,0,4,810,796,32,32,0,643,28,28,59
dynamic_degradation,57,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.5,91.3,0.0,506.8,3327.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,57,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,79.0,37.1,52.2,500000,25.0,100000,15000,10444,100000,81358,0,0,0,-1,-1,2,28732
dynamic_degradation,57,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,134.1,142.8,442206,10.6,42206,2472,8932,42206,23387,0,0,0,-1,2,2,18397
dynamic_degradation,57,100000,500,1.0,20,5000,health_ec,15.0,12.8,31.6,71.2,22.0,357.9,527.1,400859,0.2,859,0,4,859,837,33,32,1,637,6,6,27
dynamic_degradation,58,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,90.9,0.0,503.6,3303.1,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,58,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.9,36.1,49.3,500000,25.0,100000,15000,10554,100000,81756,0,0,0,-1,-1,1,28935
dynamic_degradation,58,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,131.7,139.5,442041,10.5,42041,2431,9055,42041,23457,0,0,0,-1,1,1,18433
