scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_degradation,67,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.6,75.3,20.9,93.7,417262,4.3,17262,0,5071,17262,16870,6,6,0,697,43,43,10038,19.1,19.0,15429,14130,91.6
dynamic_degradation,68,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,90.6,0.0,502.8,3323.4,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.6,547.7,-1,-1,-1.0
dynamic_degradation,68,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,78.9,36.8,49.0,500000,25.0,100000,15000,10418,100000,81431,0,-1,-1,-1,-1,0,28576,18.0,18.1,-1,-1,-1.0
dynamic_degradation,68,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.2,133.1,142.7,442043,10.5,42043,2441,8958,42043,23263,0,-1,-1,-1,0,2,18255,29.4,31.1,-1,-1,-1.0
dynamic_degradation,68,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.6,75.0,21.2,83.9,417160,4.3,17160,0,5161,17160,16762,6,6,0,710,27,27,10045,18.9,18.9,15414,14035,91.1
dynamic_degradation,69,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.4,0.0,502.2,3339.0,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,44.3,550.2,-1,-1,-1.0
dynamic_degradation,69,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,38.7,51.9,500000,25.0,100000,15000,10308,100000,81442,0,-1,-1,-1,-1,1,28576,18.1,18.2,-1,-1,-1.0
dynamic_degradation,69,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.6,132.0,144.0,442073,10.5,42073,2390,8870,42073,23469,0,-1,-1,-1,1,1,18343,29.2,31.2,-1,-1,-1.0
dynamic_degradation,69,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.7,75.2,22.7,89.5,417230,4.3,17230,0,5165,17230,16794,6,6,0,695,21,21,10160,19.3,19.0,15378,13979,90.9
dynamic_degradation,70,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,90.5,0.0,499.5,3319.2,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.9,545.6,-1,-1,-1.0
dynamic_degradation,70,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.8,37.2,49.5,500000,25.0,100000,15000,10381,100000,81435,0,-1,-1,-1,-1,1,28617,18.1,18.1,-1,-1,-1.0
dynamic_degradation,70,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.3,130.2,144.7,441903,10.5,41903,2434,8914,41903,23333,0,-1,-1,-1,1,1,18279,29.1,31.1,-1,-1,-1.0
dynamic_degradation,70,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.4,22.7,74.9,20.3,87.5,416926,4.2,16926,0,5089,16926,16545,6,6,0,694,8,8,10052,19.2,19.0,15174,13790,90.9
dynamic_degradation,71,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,92.0,0.0,504.6,3344.1,400000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,43.6,551.3,-1,-1,-1.0
dynamic_degradation,71,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.1,79.2,36.4,48.5,500000,25.0,100000,15000,10285,100000,81417,0,-1,-1,-1,-1,1,28617,18.1,18.1,-1,-1,-1.0
dynamic_degradation,71,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.8,130.8,142.2,442034,10.5,42034,2389,8806,42034,23565,0,-1,-1,-1,1,6,18293,29.0,31.3,-1,-1,-1.0
dynamic_degradation,71,100000,500,1.0,20,5000,health_ec,15.0,12.6,17.5,23.1,74.9,22.8,82.0,417157,4.3,17157,0,5001,17157,16751,6,6,0,711,28,28,9978,19.0,18.9,15565,14099,90.6
