name,case_id,seed,kind,returncode,stderr_empty,stdout_lines,expected_success,expected_stderr
slow_ratio_2pct_seed42_event_trace,slow_ratio_2pct,42,event_trace,0,1,14,1,
slow_ratio_4pct_base_seed42_aggregate_csv_extended,slow_ratio_4pct_base,42,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed42_windowed_csv,slow_ratio_4pct_base,42,windowed,0,1,81,1,
slow_ratio_4pct_base_seed43_aggregate_csv_extended,slow_ratio_4pct_base,43,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed43_windowed_csv,slow_ratio_4pct_base,43,windowed,0,1,81,1,
slow_ratio_4pct_base_seed44_aggregate_csv_extended,slow_ratio_4pct_base,44,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed44_windowed_csv,slow_ratio_4pct_base,44,windowed,0,1,81,1,
slow_ratio_4pct_base_seed45_aggregate_csv_extended,slow_ratio_4pct_base,45,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed45_windowed_csv,slow_ratio_4pct_base,45,windowed,0,1,81,1,
slow_ratio_4pct_base_seed46_aggregate_csv_extended,slow_ratio_4pct_base,46,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed46_windowed_csv,slow_ratio_4pct_base,46,windowed,0,1,81,1,
slow_ratio_4pct_base_seed47_aggregate_csv_extended,slow_ratio_4pct_base,47,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed47_windowed_csv,slow_ratio_4pct_base,47,windowed,0,1,81,1,
slow_ratio_4pct_base_seed48_aggregate_csv_extended,slow_ratio_4pct_base,48,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed48_windowed_csv,slow_ratio_4pct_base,48,windowed,0,1,81,1,
slow_ratio_4pct_base_seed49_aggregate_csv_extended,slow_ratio_4pct_base,49,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed49_windowed_csv,slow_ratio_4pct_base,49,windowed,0,1,81,1,
slow_ratio_4pct_base_seed50_aggregate_csv_extended,slow_ratio_4pct_base,50,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed50_windowed_csv,slow_ratio_4pct_base,50,windowed,0,1,81,1,
slow_ratio_4pct_base_seed51_aggregate_csv_extended,slow_ratio_4pct_base,51,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed51_windowed_csv,slow_ratio_4pct_base,51,windowed,0,1,81,1,
slow_ratio_4pct_base_seed52_aggregate_csv_extended,slow_ratio_4pct_base,52,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed52_windowed_csv,slow_ratio_4pct_base,52,windowed,0,1,81,1,
slow_ratio_4pct_base_seed53_aggregate_csv_extended,slow_ratio_4pct_base,53,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed53_windowed_csv,slow_ratio_4pct_base,53,windowed,0,1,81,1,
slow_ratio_4pct_base_seed54_aggregate_csv_extended,slow_ratio_4pct_base,54,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed54_windowed_csv,slow_ratio_4pct_base,54,windowed,0,1,81,1,
slow_ratio_4pct_base_seed55_aggregate_csv_extended,slow_ratio_4pct_base,55,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed55_windowed_csv,slow_ratio_4pct_base,55,windowed,0,1,81,1,
slow_ratio_4pct_base_seed56_aggregate_csv_extended,slow_ratio_4pct_base,56,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed56_windowed_csv,slow_ratio_4pct_base,56,windowed,0,1,81,1,
slow_ratio_4pct_base_seed57_aggregate_csv_extended,slow_ratio_4pct_base,57,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed57_windowed_csv,slow_ratio_4pct_base,57,windowed,0,1,81,1,
slow_ratio_4pct_base_seed58_aggregate_csv_extended,slow_ratio_4pct_base,58,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed58_windowed_csv,slow_ratio_4pct_base,58,windowed,0,1,81,1,
slow_ratio_4pct_base_seed59_aggregate_csv_extended,slow_ratio_4pct_base,59,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed59_windowed_csv,slow_ratio_4pct_base,59,windowed,0,1,81,1,
slow_ratio_4pct_base_seed60_aggregate_csv_extended,slow_ratio_4pct_base,60,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed60_windowed_csv,slow_ratio_4pct_base,60,windowed,0,1,81,1,
slow_ratio_4pct_base_seed61_aggregate_csv_extended,slow_ratio_4pct_base,61,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed61_windowed_csv,slow_ratio_4pct_base,61,windowed,0,1,81,1,
slow_ratio_4pct_base_seed62_aggregate_csv_extended,slow_ratio_4pct_base,62,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed62_windowed_csv,slow_ratio_4pct_base,62,windowed,0,1,81,1,
slow_ratio_4pct_base_seed63_aggregate_csv_extended,slow_ratio_4pct_base,63,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed63_windowed_csv,slow_ratio_4pct_base,63,windowed,0,1,81,1,
slow_ratio_4pct_base_seed64_aggregate_csv_extended,slow_ratio_4pct_base,64,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed64_windowed_csv,slow_ratio_4pct_base,64,windowed,0,1,81,1,
slow_ratio_4pct_base_seed65_aggregate_csv_extended,slow_ratio_4pct_base,65,aggregate_extended,0,1,5,1,
slow_ratio_4pct_base_seed65_windowed_csv,slow_ratio_4pct_base,65,windowed,0,1,81,1,
