scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_overlap_100d_4pct_hdd,100,54,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.0,0.0,17.9,559.7,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,63.5,64.1,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,54,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.6,57.1,10.3,214.5,5000000,25.0,1000000,150000,10245,1000000,797995,0,-1,-1,-1,-1,31,17496,26.8,27.5,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,54,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.5,50.0,17.1,218.4,4181072,4.5,181072,24333,8791,181072,22978,0,-1,-1,-1,31,56,10666,28.4,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,54,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.3,61.3,7.3,135.6,4018424,0.5,18424,0,6915,18424,17222,6,6,0,1210,1294,1294,8544,22.4,25.0,17434,15365,88.1
