scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_overlap_100d_4pct_hdd,100,61,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.6,50.1,17.1,219.3,4180675,4.5,180675,24063,8764,180675,22995,0,-1,-1,-1,223,223,10655,28.4,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,61,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.3,61.5,7.1,137.2,4018045,0.5,18045,0,6831,18045,16846,6,6,0,1202,1802,1802,8465,22.4,25.3,16987,14952,88.0
dynamic_overlap_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,54.6,0.0,18.2,556.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,62.9,63.4,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.5,57.0,9.7,212.8,5000000,25.0,1000000,150000,10243,1000000,798480,0,-1,-1,-1,-1,18,17607,26.6,27.0,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,49.8,17.2,218.1,4181216,4.5,181216,24069,8743,181216,22839,0,-1,-1,-1,18,113,10686,28.3,28.8,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,21.2,61.1,7.2,136.6,4018569,0.5,18569,0,6897,18569,17430,6,6,0,1214,403,535,8544,22.6,25.3,17466,15493,88.7
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.6,55.4,0.0,17.9,563.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,64.0,65.1,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,23.4,57.8,10.1,211.5,5000000,25.0,1000000,150000,10066,1000000,799079,0,-1,-1,-1,-1,2,17478,26.5,27.2,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.5,27.4,50.5,17.1,214.7,4181268,4.5,181268,24322,8634,181268,22996,0,-1,-1,-1,2,14,10507,28.5,28.9,-1,-1,-1.0
dynamic_overlap_100d_4pct_hdd,100,63,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,21.4,61.4,7.2,134.9,4018364,0.5,18364,0,6766,18364,17186,6,6,0,1228,221,221,8396,22.6,25.2,17436,15229,87.3
