scenario,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads
dynamic_degradation,49,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,68.0,133.3,145.1,442275,10.6,42275,2362,9012,42275,23703,0,0,0,-1,0,0,18421
dynamic_degradation,49,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.3,79.2,14.3,421.5,616.4,416387,4.1,16387,0,4098,16387,16182,4411,4127,284,687,25,25,8646
dynamic_degradation,50,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.6,92.8,0.0,511.1,3355.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,50,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.3,37.6,51.2,500000,25.0,100000,15000,10457,100000,81407,0,0,0,-1,-1,1,28847
dynamic_degradation,50,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,68.1,132.3,141.9,441994,10.5,41994,2427,8950,41994,23591,0,0,0,-1,1,1,18467
dynamic_degradation,50,100000,500,1.0,20,5000,health_ec,15.0,13.1,47.5,79.5,14.4,423.3,626.9,416289,4.1,16289,18,4112,16289,16077,4446,4130,316,667,31,31,8860
dynamic_degradation,51,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.6,0.0,506.5,3336.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,51,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.9,36.8,52.2,500000,25.0,100000,15000,10415,100000,81450,0,0,0,-1,-1,0,28692
dynamic_degradation,51,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.6,29.7,67.5,133.0,144.6,442140,10.5,42140,2468,8927,42140,23481,0,0,0,-1,0,0,18390
dynamic_degradation,51,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.1,78.5,14.3,420.6,588.0,415888,4.0,15888,0,3893,15888,15723,4344,4017,327,695,9,9,8478
dynamic_degradation,52,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,92.7,0.0,504.2,3361.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,52,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,79.2,38.0,48.4,500000,25.0,100000,15000,10594,100000,81692,0,0,0,-1,-1,1,28783
dynamic_degradation,52,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,68.0,130.9,143.5,442295,10.6,42295,2444,9117,42295,23431,0,0,0,-1,1,1,18613
dynamic_degradation,52,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.3,78.4,15.4,416.8,595.7,416331,4.1,16331,53,4061,16331,16123,4482,4167,315,690,7,7,8708
dynamic_degradation,53,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.2,91.9,0.0,505.5,3342.3,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,53,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,79.0,37.0,49.7,500000,25.0,100000,15000,10425,100000,81302,0,0,0,-1,-1,0,28495
dynamic_degradation,53,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.7,132.5,141.8,441982,10.5,41982,2506,8952,41982,23292,0,0,0,-1,0,0,18324
dynamic_degradation,53,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.0,79.1,13.9,421.9,602.8,415988,4.0,15988,2,4026,15988,15821,4402,4108,294,679,21,21,8531
dynamic_degradation,54,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.4,91.8,0.0,504.2,3337.5,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,54,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.0,37.1,51.7,500000,25.0,100000,15000,10317,100000,81460,0,0,0,-1,-1,1,28540
dynamic_degradation,54,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.8,130.9,139.4,442106,10.5,42106,2403,8877,42106,23405,0,0,0,-1,1,2,18313
dynamic_degradation,54,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.8,78.4,14.5,419.5,599.7,416389,4.1,16389,81,4086,16389,16170,4488,4138,350,671,4,4,8845
dynamic_degradation,55,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.1,91.0,0.0,503.4,3344.6,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,55,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.1,19.2,78.9,36.9,52.8,500000,25.0,100000,15000,10480,100000,81442,0,0,0,-1,-1,2,28745
dynamic_degradation,55,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,133.5,143.2,442026,10.5,42026,2463,8969,42026,23416,0,0,0,-1,2,2,18381
dynamic_degradation,55,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.4,78.7,13.6,419.6,587.0,416319,4.1,16319,92,4159,16319,16096,4384,4065,319,682,31,31,8811
dynamic_degradation,56,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,91.1,0.0,505.9,3323.0,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,56,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,78.9,38.2,51.9,500000,25.0,100000,15000,10433,100000,81674,0,0,0,-1,-1,0,28666
dynamic_degradation,56,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.6,67.5,131.4,143.0,442034,10.5,42034,2421,8936,42034,23436,0,0,0,-1,0,1,18326
dynamic_degradation,56,100000,500,1.0,20,5000,health_ec,15.0,13.2,47.4,78.6,13.7,422.0,610.5,416389,4.1,16389,0,4141,16389,16172,4432,4100,332,667,2,2,8719
dynamic_degradation,57,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.0,90.9,0.0,501.0,3343.9,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,57,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.3,78.8,37.2,50.6,500000,25.0,100000,15000,10444,100000,81424,0,0,0,-1,-1,2,28732
dynamic_degradation,57,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.5,29.7,67.3,132.1,142.9,442181,10.5,42181,2382,9022,42181,23448,0,0,0,-1,2,2,18509
dynamic_degradation,57,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.7,78.1,14.0,417.0,589.7,415978,4.0,15978,0,3958,15978,15802,4447,4145,302,665,9,9,8484
dynamic_degradation,58,100000,500,1.0,20,5000,vanilla_ec,15.0,14.0,65.3,92.1,0.0,506.7,3348.7,400000,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,0
dynamic_degradation,58,100000,500,1.0,20,5000,late_binding,15.0,11.4,16.2,19.2,79.1,37.3,51.5,500000,25.0,100000,15000,10554,100000,81405,0,0,0,-1,-1,1,28935
dynamic_degradation,58,100000,500,1.0,20,5000,timeout_degraded_read,15.0,14.0,26.4,29.5,67.9,131.5,139.9,442245,10.6,42245,2495,9044,42245,23420,0,0,0,-1,1,1,18453
dynamic_degradation,58,100000,500,1.0,20,5000,health_ec,15.0,13.2,46.9,78.8,14.4,422.4,603.2,416303,4.1,16303,199,4053,16303,16031,4385,4080,305,688,8,8,8755
