scenario,policy,seeds,num_runs,timeout_ms,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,migration_triggers_total,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
dynamic_degradation,vanilla_ec,42..71,30,15,14,14,14.1,65.3,65,65.6,91.1,90.4,92.8,0,0,0,504.45,500.6,511.1,3340.45,3308.9,3390.6,400000,400000,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
dynamic_degradation,late_binding,42..71,30,15,11.4,11.4,11.4,16.2,16.1,16.2,19.3,19.1,19.4,78.9,78.6,79.3,37.9,36.8,39,51.45,48.4,53.6,500000,500000,500000,25,25,25,100000,100000,100000,15000,15000,15000,10439.5,10285,10594,100000,100000,100000,81468.5,81302,81692,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0.5,0,8,28668,28495,29034,0,0,0,-1,-1,-1
dynamic_degradation,timeout_degraded_read,42..71,30,15,14,14,14.1,26.5,26.4,26.6,29.6,29.5,29.7,67.5,67.2,68.1,132.25,130.9,134.7,142.75,139.4,145.6,442083.5,441843,442438,10.5,10.5,10.6,42083.5,41843,42438,2425.5,2332,2506,8969,8812,9117,42083.5,41843,42438,23442,23260,23735,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0,8,1,0,9,18386.5,18202,18619,0,0,0,-1,-1,-1
dynamic_degradation,health_ec,42..71,30,15,13.2,13.1,13.2,47.1,46.4,47.7,78.6,77.6,79.8,13.85,12.7,15.4,419.85,415.8,424.8,593,579.5,626.9,416285.5,415888,416456,4.1,4,4.1,16285.5,15888,16456,0,0,199,4055.5,3893,4203,16285.5,15888,16456,16055.5,15723,16247,4421,4344,4497,4110,4017,4189,313.5,259,373,679,654,695,10.5,2,31,10.5,2,31,8641,8428,8997,132766,123351,9415,20323,92.909,85.855
