candidate_id,row_type,grid_name,a_abs,b_abs,theta_s,theta_d,seeds,num_runs,feasible,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,post_warmup_windowed_p99_ms_sum,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,severe_window_p99_ms_sum,post_warmup_p99_gap_to_tdr_ms_median,post_warmup_p99_gap_to_tdr_ms_min,post_warmup_p99_gap_to_tdr_ms_max,post_warmup_p99_gap_to_tdr_ms_sum,post_warmup_p99_gap_to_tdr_pct_median,post_warmup_p99_gap_to_tdr_pct_min,post_warmup_p99_gap_to_tdr_pct_max,post_warmup_p99_gap_to_tdr_pct_sum,severe_window_p99_gap_to_tdr_ms_median,severe_window_p99_gap_to_tdr_ms_min,severe_window_p99_gap_to_tdr_ms_max,severe_window_p99_gap_to_tdr_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,bandwidth_vs_tdr_ratio_median,bandwidth_vs_tdr_ratio_min,bandwidth_vs_tdr_ratio_max,bandwidth_vs_tdr_ratio_sum,read_bypass_eligible_events_median,read_bypass_eligible_events_min,read_bypass_eligible_events_max,read_bypass_eligible_events_sum,read_bypass_triggered_events_median,read_bypass_triggered_events_min,read_bypass_triggered_events_max,read_bypass_triggered_events_sum,read_bypass_coverage_pct_median,read_bypass_coverage_pct_min,read_bypass_coverage_pct_max,read_bypass_coverage_pct_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,migration_precision_pct_median,migration_precision_pct_min,migration_precision_pct_max,migration_precision_pct_sum,migration_recall_pct_median,migration_recall_pct_min,migration_recall_pct_max,migration_recall_pct_sum,migration_fp_rate_pct_median,migration_fp_rate_pct_min,migration_fp_rate_pct_max,migration_fp_rate_pct_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,post_warmup_gap_reduction_vs_t26_pct_median,post_warmup_gap_reduction_vs_t26_pct_min,post_warmup_gap_reduction_vs_t26_pct_max,post_warmup_gap_reduction_vs_t26_pct_sum
t2_8_2_3|A=15|B=10|S=0.07|D=24,candidate,t2_8_2_3,15,10,0.07,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.4,19.2,19.7,194.2,19.15,19.1,19.5,192.2,-9.85,-10,-9.5,-97.8,-33.675,-34.13,-32.646,-334.929,-11.95,-12.2,-11.5,-119.2,5.05,5,5.1,50.5,0.479,0.472,0.486,4.796,17000.5,16843,17159,170291,16154.5,16030,16346,161857,95,94.9,95.3,950.6,4,4,4,40,4,4,4,40,0,0,0,0,706,697,717,7065,100,100,100,1000,0.563,0.555,0.571,5.63,0,0,0,0,39.5,0,205,561,5959.5,5777,6024,59498,211.932,207.955,213.636,2111.364
t2_8_2_3|A=25|B=15|S=0.05|D=32,candidate,t2_8_2_3,25,15,0.05,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,20.25,19.6,20.7,202,19.25,19.1,19.8,193.3,-8.95,-9.6,-8.5,-90,-30.652,-32.877,-29.21,-308.228,-11.85,-12,-11.3,-118.1,5.1,4.9,5.2,50.6,0.481,0.467,0.491,4.805,18796,18546,19239,188433,17191,16834,17566,171727,91.15,90.5,91.8,911.3,4,4,4,40,4,4,4,40,0,0,0,0,708.5,700,719,7089,100,100,100,1000,0.561,0.553,0.568,5.611,0,0,0,0,0,0,0,0,5735.5,5575,5823,57196,201.705,196.591,209.091,2022.727
t2_8_2_3|A=25|B=10|S=0.03|D=24,candidate,t2_8_2_3,25,10,0.03,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.1,18.9,19.5,191.2,18.9,18.8,19,188.9,-10.15,-10.4,-9.7,-100.8,-34.701,-35.495,-33.333,-345.202,-12.3,-12.4,-12,-122.5,5.1,5,5.2,50.9,0.483,0.476,0.495,4.834,17023,16888,17196,170591,15652,15514,15871,156773,91.95,91.2,92.5,919,4,4,4,40,4,4,4,40,0,0,0,0,706,697,717,7065,100,100,100,1000,0.563,0.555,0.571,5.63,0,0,0,0,0,0,0,0,6020,5870,6089,60199,215.341,210.227,218.182,2145.455
t2_8_2_3|A=20|B=20|S=0.05|D=32,candidate,t2_8_2_3,20,20,0.05,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,20.75,19.4,21.8,207.3,19.25,19.1,19.6,193.3,-8.5,-9.8,-7.5,-84.7,-29.06,-33.562,-25.597,-290.086,-11.85,-12.1,-11.4,-118.1,5.1,5,5.3,51.2,0.486,0.476,0.5,4.862,19089.5,18823,20003,192311,17864,17594,18696,179800,93.5,93,93.9,934.8,4,4,4,40,4,4,4,40,0,0,0,0,708,699,719,7087,100,100,100,1000,0.562,0.553,0.569,5.613,0,0,0,0,0,0,0,0,5356.5,5249,5428,53552,196.591,185.227,211.364,1962.5
t2_8_2_3|A=25|B=20|S=0.03|D=32,candidate,t2_8_2_3,25,20,0.03,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.2,19,19.6,192.4,19,18.9,19.1,189.8,-10.05,-10.2,-9.5,-99.6,-34.418,-34.932,-32.646,-341.091,-12.2,-12.3,-12,-121.6,5.1,5.1,5.5,51.9,0.486,0.481,0.519,4.928,19092,18822,20221,192679,17574,17390,18726,177587,92.15,91.6,92.7,921.6,4,4,4,40,4,4,4,40,0,0,0,0,708,699,720,7088,100,100,100,1000,0.562,0.552,0.569,5.612,0,0,0,0,0,0,0,0,5561.5,5440,5648,55601,214.205,207.955,215.909,2131.818
t2_8_2_3|A=15|B=20|S=0.07|D=32,candidate,t2_8_2_3,15,20,0.07,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,22.35,21.3,22.8,222.6,20,19.4,20.3,199,-6.85,-8,-6.4,-69.4,-23.459,-27.304,-21.918,-237.646,-11.2,-11.9,-10.8,-112.4,5.1,5,5.3,51.2,0.486,0.472,0.5,4.862,19089,18824,20004,192310,17902,17599,18715,180165,93.6,93.5,94.1,936.9,4,4,4,40,4,4,4,40,0,0,0,0,708,699,719,7087,100,100,100,1000,0.562,0.553,0.569,5.613,0,0,0,0,20,0,41,207,5221.5,5192,5303,52308,177.841,172.727,190.909,1788.636
t2_8_2_3|A=15|B=15|S=0.03|D=24,candidate,t2_8_2_3,15,15,0.03,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19,18.9,19.2,190.2,18.8,18.8,18.9,188.3,-10.2,-10.4,-10,-101.8,-34.932,-35.495,-34.364,-348.623,-12.3,-12.4,-12.2,-123.1,5.1,5.1,5.3,51.5,0.486,0.486,0.5,4.891,17381,17242,18083,174941,16897,16824,17560,170168,97.2,97,97.6,972.7,4,4,4,40,4,4,4,40,0,0,0,0,706,697,717,7065,100,100,100,1000,0.563,0.555,0.571,5.63,0,0,0,0,26,0,53,266,5844.5,5763,5988,58606,215.909,213.636,218.182,2156.818
t2_8_2_3|A=15|B=20|S=0.05|D=24,candidate,t2_8_2_3,15,20,0.05,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.75,19.2,20.2,198,19.15,18.9,19.4,191.4,-9.45,-10,-9,-94,-32.363,-34.247,-30.822,-321.906,-12,-12.3,-11.7,-120,5.2,5.1,5.3,51.9,0.491,0.486,0.505,4.929,18827.5,18623,19103,188257,17953.5,17782,18274,179795,95.5,95.3,95.8,955,4,4,4,40,4,4,4,40,0,0,0,0,708.5,699,720,7088,100,100,100,1000,0.561,0.552,0.569,5.612,0,0,0,0,21.5,0,44,225,5480.5,5312,5662,54962,207.386,202.273,213.636,2068.182
t2_8_2_3|A=15|B=15|S=0.07|D=32,candidate,t2_8_2_3,15,15,0.07,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,20.95,20.1,21.6,209.1,19.5,19.2,19.8,194.9,-8.25,-9,-7.6,-82.9,-28.252,-30.928,-26.117,-283.904,-11.65,-12.1,-11.3,-116.5,5.2,5.1,5.3,51.9,0.493,0.486,0.505,4.929,18774,18513,19212,188215,17838.5,17565,18222,178504,94.9,94.6,95.1,948.6,4,4,4,40,4,4,4,40,0,0,0,0,708.5,700,719,7089,100,100,100,1000,0.561,0.553,0.568,5.611,0,0,0,0,20,0,46,213,5641.5,5532,5872,56638,193.75,186.364,202.273,1942.045
t2_8_2_3|A=20|B=20|S=0.03|D=24,candidate,t2_8_2_3,20,20,0.03,24,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19,18.9,19.4,190.3,18.9,18.8,19,188.8,-10.2,-10.4,-9.8,-101.7,-34.932,-35.495,-33.677,-348.283,-12.3,-12.4,-12.1,-122.6,5.2,5.2,5.3,52.3,0.495,0.491,0.505,4.967,18772.5,18624,19104,187968,17922.5,17715,18193,179122,95.2,94.9,95.8,952.8,4,4,4,40,4,4,4,40,0,0,0,0,708.5,699,719,7087,100,100,100,1000,0.561,0.553,0.569,5.613,0,0,0,0,0,0,0,0,5586,5395,5636,55654,215.909,211.364,218.182,2155.682
t2_8_2_3|A=20|B=15|S=0.05|D=32,candidate,t2_8_2_3,20,15,0.05,32,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,19.5,19.2,19.8,194.7,19.1,19,19.5,191.3,-9.75,-10,-9.5,-97.3,-33.333,-34.13,-32.423,-333.218,-12.05,-12.2,-11.6,-120.1,5.2,5.1,5.3,52,0.495,0.486,0.505,4.938,18795.5,18513,19240,188292,17808.5,17472,18159,177790,94.4,94,94.9,944.4,4,4,4,40,4,4,4,40,0,0,0,0,708.5,700,719,7089,100,100,100,1000,0.561,0.553,0.568,5.611,0,0,0,0,0,0,0,0,5729.5,5600,5827,57290,210.795,207.955,213.636,2105.682
