scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.3,23.9,0.0,10.8,158.1,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,22.1,41.8,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,late_binding,15.0,10.7,14.3,17.5,26.8,7.0,94.8,5000000,25.0,1000000,150000,6518,1000000,798315,0,-1,-1,-1,-1,18,19107,17.0,29.9,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.2,22.0,7.6,10.4,83.7,4176290,4.4,176290,24069,4024,176290,13882,0,-1,-1,-1,18,113,8141,21.2,30.2,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,62,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.1,20.1,15.6,5.8,68.2,4011873,0.3,11873,0,2989,11873,11093,6,6,0,1178,403,535,4878,20.1,28.6,13928,9309,66.8
