scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.4,35.4,0.0,13.7,397.5,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,31.2,72.5,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,24.6,30.5,10.1,262.2,5000000,25.0,1000000,150000,6284,1000000,797865,0,-1,-1,-1,-1,120,18878,22.7,51.6,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.4,26.9,24.2,13.2,241.4,4178550,4.5,178550,24431,5112,178550,18785,0,-1,-1,-1,120,120,9238,25.7,51.6,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,71,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,22.1,37.6,7.6,207.1,4013436,0.3,13436,0,3735,13436,12282,6,6,0,1167,822,822,6389,24.0,47.3,12840,9985,77.8
