scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,vanilla_ec,15.0,12.6,17.6,46.0,0.0,19.8,426.6,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,32.4,75.9,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,late_binding,15.0,10.8,14.6,28.8,37.5,13.8,282.2,5000000,25.0,1000000,150000,7845,1000000,796636,0,-1,-1,-1,-1,61,23485,23.7,54.5,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,timeout_degraded_read,15.0,12.6,17.5,29.8,35.3,18.9,261.5,4182070,4.6,182070,24309,6261,182070,22054,0,-1,-1,-1,61,61,11238,26.4,54.5,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,42,1000000,5000,0.8,20,50000,health_ec,15.0,12.6,17.4,28.3,38.5,12.8,247.4,4019652,0.5,19652,0,5533,19652,18044,6,6,0,1674,1228,1228,9196,26.2,52.4,17988,14680,81.6
