scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,53,1000000,5000,1.2,20,50000,vanilla_ec,15.0,12.5,17.2,27.5,0.0,9.2,348.8,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,29.4,66.6,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,53,1000000,5000,1.2,20,50000,late_binding,15.0,10.7,14.3,19.2,30.3,6.7,220.9,5000000,25.0,1000000,150000,4586,1000000,798740,0,-1,-1,-1,-1,2,13399,21.3,46.7,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,53,1000000,5000,1.2,20,50000,timeout_degraded_read,15.0,12.5,17.2,23.5,14.5,9.0,204.9,4174552,4.4,174552,24323,3825,174552,14854,0,-1,-1,-1,2,2,6870,24.8,46.7,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,53,1000000,5000,1.2,20,50000,health_ec,15.0,12.5,17.0,19.9,27.4,4.7,103.9,4007766,0.2,7766,0,2072,7766,7184,6,6,0,571,1732,1732,3442,21.2,34.0,7906,5927,75.0
