scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,61,1000000,5000,1.2,20,50000,vanilla_ec,15.0,12.5,17.2,27.4,0.0,8.6,353.0,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,28.8,67.0,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,61,1000000,5000,1.2,20,50000,late_binding,15.0,10.7,14.3,19.0,30.6,6.6,219.9,5000000,25.0,1000000,150000,4568,1000000,798752,0,-1,-1,-1,-1,93,13398,20.6,46.9,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,61,1000000,5000,1.2,20,50000,timeout_degraded_read,15.0,12.5,17.2,23.4,14.7,8.5,203.8,4173418,4.3,173418,24300,3786,173418,14866,0,-1,-1,-1,93,93,6905,24.7,46.9,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,61,1000000,5000,1.2,20,50000,health_ec,15.0,12.5,17.0,20.0,27.2,4.0,103.3,4007373,0.2,7373,0,1899,7373,6827,6,6,0,546,1243,1243,3241,21.2,33.9,7762,5707,73.5
