scenario,num_disks,seed,num_reads,num_stripes,zipf_s,num_windows,window_size,policy,timeout_ms,p50_ms,p95_ms,p99_ms,p99_improvement_pct,post_onset_p95_auc_ms,post_onset_p99_auc_ms,issued_shard_reads,bandwidth_overhead_pct,parity_reads,pre_slowdown_parity_reads,recovery_parity_reads,proactive_or_degraded_reads,decode_count,migration_triggers,migration_true_positives,migration_false_positives,migration_false_negatives,first_detection_latency_reads,first_mitigation_latency_reads,recovery_regret_reads,post_warmup_windowed_p99_ms,severe_window_p99_ms,read_bypass_eligible_events,read_bypass_triggered_events,read_bypass_coverage_pct
dynamic_sensitivity_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,vanilla_ec,15.0,12.6,17.4,35.3,0.0,14.1,397.3,4000000,0.0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,31.3,72.1,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,late_binding,15.0,10.8,14.4,24.4,31.0,10.0,257.9,5000000,25.0,1000000,150000,6540,1000000,797578,0,-1,-1,-1,-1,40,19038,22.7,51.4,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,timeout_degraded_read,15.0,12.6,17.4,26.9,23.9,13.5,237.7,4178605,4.5,178605,24256,5327,178605,18780,0,-1,-1,-1,40,40,9530,25.6,51.4,-1,-1,-1.0
dynamic_sensitivity_100d_4pct_hdd,100,67,1000000,5000,1.0,20,50000,health_ec,15.0,12.5,17.2,22.0,37.9,8.0,198.3,4013820,0.3,13820,0,3886,13820,12661,6,6,0,1134,776,776,6594,24.0,46.9,12756,10190,79.9
