candidate_id,grid_name,a_abs,b_abs,theta_s,theta_d,theta_d_mult,seeds,num_runs,feasible,p50_ms_median,p50_ms_min,p50_ms_max,p50_ms_sum,p95_ms_median,p95_ms_min,p95_ms_max,p95_ms_sum,p99_ms_median,p99_ms_min,p99_ms_max,p99_ms_sum,p99_improvement_pct_median,p99_improvement_pct_min,p99_improvement_pct_max,p99_improvement_pct_sum,post_onset_p95_auc_ms_median,post_onset_p95_auc_ms_min,post_onset_p95_auc_ms_max,post_onset_p95_auc_ms_sum,post_onset_p99_auc_ms_median,post_onset_p99_auc_ms_min,post_onset_p99_auc_ms_max,post_onset_p99_auc_ms_sum,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,bandwidth_overhead_pct_sum,parity_reads_median,parity_reads_min,parity_reads_max,parity_reads_sum,pre_slowdown_parity_reads_median,pre_slowdown_parity_reads_min,pre_slowdown_parity_reads_max,pre_slowdown_parity_reads_sum,recovery_parity_reads_median,recovery_parity_reads_min,recovery_parity_reads_max,recovery_parity_reads_sum,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,proactive_or_degraded_reads_sum,decode_count_median,decode_count_min,decode_count_max,decode_count_sum,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_triggers_sum,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_true_positives_sum,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max,migration_false_positives_sum,migration_false_negatives_median,migration_false_negatives_min,migration_false_negatives_max,migration_false_negatives_sum,first_detection_latency_reads_median,first_detection_latency_reads_min,first_detection_latency_reads_max,first_detection_latency_reads_sum,first_mitigation_latency_reads_median,first_mitigation_latency_reads_min,first_mitigation_latency_reads_max,first_mitigation_latency_reads_sum,recovery_regret_reads_median,recovery_regret_reads_min,recovery_regret_reads_max,recovery_regret_reads_sum
expanded|A=40|B=20|S=4|D=4,expanded,40,20,4,4,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13,13.1,130.9,42.7,41.7,43.1,425.1,76.7,75.7,77.5,765.9,16.2,15.1,17.8,161.4,407.75,403,410.7,4076.4,574.95,565.3,586.1,5758.2,0.1,0,0.1,0.8,221,197,266,2255,0,0,0,0,0,0,1,2,221,197,266,2255,220,197,263,2242,14,14,14,140,14,14,14,140,0,0,0,0,692,682,704,6926,263,42,1174,4852,263,42,1174,4861,0,0,28,50
expanded|A=30|B=30|S=3|D=9,expanded,30,30,3,9,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.2,131.4,40.65,39.6,41,405.4,76.3,74.8,76.9,760.6,16.7,15.8,17.9,167.6,408.55,404.1,413.8,4084.7,575,562,586.1,5751.6,0.65,0.6,0.7,6.5,2598.5,2243,2941,26127,0,0,0,0,21.5,18,38,233,2598.5,2243,2941,26127,2578,2224,2909,25907,8,8,8,80,8,8,8,80,0,0,0,0,702,695,713,7031,127,8,454,1564,127,8,454,1564,785.5,761,830,7890
expanded|A=20|B=40|S=3|D=9,expanded,20,40,3,9,3,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,41.1,39.9,41.8,409.4,76.3,75,77.1,762.1,16.45,15.6,18,166.2,407.9,405.1,411.4,4081.8,575.05,562.4,580.6,5743,1.5,1.3,1.6,14.9,6147,5230,6327,60227,0,0,0,0,70.5,57,97,741,6147,5230,6327,60227,6058,5149,6236,59343,6,6,7,61,6,6,7,61,0,0,0,0,707.5,698,719,7077,11,5,95,227,11,5,95,230,1086.5,873,1122,10634
expanded|A=40|B=15|S=4|D=6,expanded,40,15,4,6,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13,13.1,130.7,42.6,41.4,42.9,424.2,76.55,75.6,77.6,765.6,16.35,15,17.8,162,407.25,403.4,410.1,4073.7,575.2,563,587.2,5757.5,0.2,0.1,0.2,1.6,624,556,729,6297,0,0,0,0,4.5,1,7,41,624,556,729,6297,621.5,552,727,6266,12,11,12,117,12,11,12,117,0,0,0,0,695,686,706,6954,263,42,1174,4852,263,42,1174,4861,140,121,226,1535
expanded|A=30|B=40|S=2.4|D=6,expanded,30,40,2.4,6,2.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.2,13.1,13.2,131.7,40.1,38.9,40.5,399.5,75.9,74.4,76.9,757.8,17.1,15.8,18.4,170.6,408.3,402.3,413.5,4080.1,575.45,561.2,582.1,5747.1,0.65,0.5,0.8,6.6,2641.5,2067,3224,26440,0,0,0,0,17,11,30,191,2641.5,2067,3224,26440,2618,2045,3181,26147,10,9,10,99,10,9,10,99,0,0,0,0,700.5,694,711,7016,127,8,454,1564,127,8,454,1564,613.5,558,770,6271
expanded|A=40|B=40|S=2.4|D=3.6,expanded,40,40,2.4,3.6,1.5,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.15,13.1,13.2,131.5,40.85,39.7,41.5,407.6,76.2,74.7,76.5,760.7,16.6,15.8,17.9,167.5,408.75,405.1,413.3,4090.3,575.45,561.6,585,5758.2,0.2,0.2,0.3,2.4,958,821,1197,9762,0,0,0,0,5,2,8,50,958,821,1197,9762,951,815,1176,9678,14,13,15,140,14,13,15,140,0,0,0,0,694.5,685,707,6952,263,42,1174,4852,263,42,1174,4861,211.5,157,267,2104
expanded|A=30|B=30|S=4|D=4,expanded,30,30,4,4,1,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,42.55,41.5,42.8,423.3,76.55,75.6,77.6,765.5,16.25,15,17.8,161.9,409.4,405.3,413.6,4094,575.65,564.2,587.1,5769.6,0.1,0.1,0.2,1.1,511.5,478,603,5301,0,0,0,0,0.5,0,2,6,511.5,478,603,5301,507.5,476,594,5250,14,13,14,139,14,13,14,139,0,0,0,0,692,683,707,6932,127,8,454,1661,127,8,454,1661,31.5,18,81,346
expanded|A=20|B=30|S=4|D=8,expanded,20,30,4,8,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13.1,13.1,131,42.3,41.4,42.8,421.6,76.45,75.6,77.7,765.6,16.2,14.9,17.8,161.9,408.6,404.2,412.2,4084.1,575.75,564.7,585.8,5760.6,0.7,0.7,0.9,7.5,2922.5,2654,3485,29713,0,0,0,0,13.5,9,19,135,2922.5,2654,3485,29713,2881.5,2622,3440,29305,8,8,8,80,8,8,8,80,0,0,0,0,702,694,714,7027,11,5,95,227,11,5,95,230,581,533,603,5791
expanded|A=10|B=40|S=4|D=8,expanded,10,40,4,8,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13,13,13,130,43.25,41.9,43.7,430.2,76.95,75.6,77.7,768.3,15.9,14.9,17.5,159,408.45,406.2,412.2,4088.5,575.8,561.9,589.9,5766.3,1.9,1.5,2.1,18.8,7651.5,6042,8272,74753,153.5,126,204,1597,118,85,246,1458,7651.5,6042,8272,74753,7351.5,5738,7928,71773,8,7,8,79,8,7,8,79,0,0,0,0,703.5,695,715,7049,7.5,3,21,91,8,3,21,98,611.5,541,881,6717
expanded|A=40|B=15|S=4|D=8,expanded,40,15,4,8,2,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010,10,1,13.1,13,13.1,130.9,42.6,41.5,43,424.4,76.6,75.6,77.8,766.1,16.3,14.8,17.8,161.6,407.6,404.3,410.5,4077.6,575.9,563.3,587.2,5763.9,0.2,0.2,0.3,2.4,986,862,1118,9807,0,0,0,0,7.5,5,12,80,986,862,1118,9807,982,858,1106,9759,10,9,10,99,10,9,10,99,0,0,0,0,697.5,689,707,6981,263,42,1174,4852,263,42,1174,4861,303,282,359,3061
