scenario_id,strategy_id,strategy_kind,health_theta_d,health_alpha_d,health_migration_evidence_windows,health_migration_top_k_per_window,health_migration_cooldown_windows,scenario,seed,policy,window_id,p99_ms,bandwidth_overhead_pct,migration_triggers
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,7,25.3,4.7,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,8,25.4,4.7,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,9,23.4,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,10,23.0,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,11,25.3,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,12,25.3,4.7,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,13,25.5,4.7,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,14,23.2,4.6,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,15,19.6,4.4,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,16,18.8,4.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,17,18.7,4.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,18,18.8,4.0,0
realistic_2pct,timeout_degraded_read,baseline,,,,,,dynamic_realistic_100d_2pct_hdd,42,timeout_degraded_read,19,18.8,4.1,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,0,18.8,0.0,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,1,18.9,0.0,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,2,18.8,0.0,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,3,20.6,0.3,1
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,4,19.5,0.4,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,5,19.2,0.4,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,6,19.2,0.4,1
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,7,18.9,0.5,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,8,18.8,0.5,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,9,19.0,0.6,1
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,10,19.1,0.6,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,11,18.9,0.5,1
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,12,18.9,0.5,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,13,18.8,0.5,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,14,19.1,0.5,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,15,18.9,0.4,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,16,18.9,0.2,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,17,18.8,0.1,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,18,18.8,0.0,0
realistic_2pct,t28_default,default,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,19,18.9,0.0,0
realistic_2pct,migration_disabled,disabled,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,0,18.8,0.0,0
realistic_2pct,migration_disabled,disabled,12,0.05,0,0,0,dynamic_realistic_100d_2pct_hdd,42,health_ec,1,18.9,0.0,0
