scenario,policy,seeds,num_runs,timeout_ms,window_id,window_start_read,window_end_read,slow_disk_a_id,slow_disk_a_state,slow_disk_b_id,slow_disk_b_state,active_slow_disks,p50_ms_median,p50_ms_min,p50_ms_max,p95_ms_median,p95_ms_min,p95_ms_max,p99_ms_median,p99_ms_min,p99_ms_max,issued_shard_reads_median,issued_shard_reads_min,issued_shard_reads_max,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,parity_reads_median,parity_reads_min,parity_reads_max,proactive_or_degraded_reads_median,proactive_or_degraded_reads_min,proactive_or_degraded_reads_max,decode_count_median,decode_count_min,decode_count_max,migration_triggers_median,migration_triggers_min,migration_triggers_max,migration_true_positives_median,migration_true_positives_min,migration_true_positives_max,migration_false_positives_median,migration_false_positives_min,migration_false_positives_max
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,19,950000,1000000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.8,18.7,18.9,200000,200000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,0,0,50000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14,15.4,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39982,39791,40257,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,1,50000,100000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14.1,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40008.5,39831,40187,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,2,100000,150000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40008.5,39886,40150,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,3,150000,200000,96,mild_slow,99,healthy,1,10.7,10.7,10.8,14.2,14.1,14.2,15.8,15.7,15.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39777,39656,39912,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,4,200000,250000,96,mild_slow,99,healthy,1,10.7,10.7,10.8,14.2,14.1,14.2,15.8,15.7,15.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39782,39637,39962,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,5,250000,300000,96,mild_slow,99,healthy,2,10.8,10.8,10.8,14.6,14.6,14.7,22.2,21.8,22.7,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39831.5,39602,40017,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,6,300000,350000,96,severe_slow,99,healthy,2,10.8,10.8,10.8,14.7,14.6,14.8,26.65,26.1,27.3,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39774.5,39517,39932,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,7,350000,400000,96,severe_slow,99,healthy,2,10.8,10.8,10.8,14.7,14.7,14.8,26.7,26.2,27.3,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39744,39577,39932,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,8,400000,450000,96,severe_slow,99,healthy,3,10.8,10.8,10.8,14.9,14.9,15.1,51.6,50.2,52.6,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39863,39725,40097,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,9,450000,500000,96,severe_slow,99,healthy,3,10.8,10.8,10.8,14.9,14.9,15,51.6,50.4,52.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39865.5,39636,40044,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,10,500000,550000,96,recovery,99,healthy,2,10.8,10.8,10.8,14.8,14.7,14.9,26.85,26.1,27.6,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40106.5,39988,40258,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,11,550000,600000,96,recovery,99,mild_slow,3,10.8,10.8,10.8,15.4,15.2,15.6,51.5,50.3,52.9,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39882.5,39657,40068,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,12,600000,650000,96,healthy,99,mild_slow,2,10.8,10.8,10.8,14.9,14.9,15,27.2,26.6,27.7,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39845,39589,40039,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,13,650000,700000,96,healthy,99,mild_slow,2,10.8,10.8,10.8,14.9,14.9,15,27.25,26.4,27.8,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39871,39728,40115,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,14,700000,750000,96,healthy,99,severe_slow,2,10.8,10.8,10.8,14.9,14.8,14.9,52,50.6,53,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39821,39675,40047,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,15,750000,800000,96,healthy,99,severe_slow,1,10.8,10.7,10.8,14.4,14.3,14.4,16.8,16.6,17,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40113.5,39989,40326,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,16,800000,850000,96,healthy,99,severe_slow,1,10.8,10.7,10.8,14.4,14.3,14.4,16.8,16.7,17.1,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40067,39890,40274,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,17,850000,900000,96,healthy,99,recovery,0,10.7,10.7,10.7,14.1,14,14.1,15.5,15.5,15.6,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,40160,39902,40293,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,18,900000,950000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14,15.5,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39971.5,39817,40222,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,19,950000,1000000,96,healthy,99,healthy,0,10.7,10.7,10.7,14,14,14,15.4,15.4,15.5,250000,250000,250000,25,25,25,50000,50000,50000,50000,50000,50000,39983,39872,40195,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,0,0,50000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.7,16.8,18.8,18.6,18.8,208095.5,207920,208330,4,4,4.2,8095.5,7920,8330,8095.5,7920,8330,186.5,165,220,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,1,50000,100000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.7,16.9,18.75,18.6,18.8,208093.5,207976,208331,4.05,4,4.2,8093.5,7976,8331,8093.5,7976,8331,187.5,156,214,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,2,100000,150000,96,healthy,99,healthy,0,12.5,12.5,12.5,16.8,16.8,16.9,18.7,18.6,18.8,208104.5,207960,208239,4.1,4,4.1,8104.5,7960,8239,8104.5,7960,8239,191,167,215,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,3,150000,200000,96,mild_slow,99,healthy,1,12.6,12.5,12.6,17.5,17.4,17.6,22.8,22.4,23.2,209088.5,208917,209308,4.5,4.5,4.7,9088.5,8917,9308,9088.5,8917,9308,890.5,797,944,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,4,200000,250000,96,mild_slow,99,healthy,1,12.6,12.5,12.6,17.5,17.4,17.6,22.9,22.6,23.2,209137.5,208952,209303,4.6,4.5,4.7,9137.5,8952,9303,9137.5,8952,9303,905.5,833,958,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,5,250000,300000,96,mild_slow,99,healthy,2,12.6,12.6,12.6,17.7,17.6,17.9,25.5,25.2,25.8,209262.5,209103,209445,4.6,4.6,4.7,9262.5,9103,9445,9262.5,9103,9445,1216.5,1162,1288,0,0,0,0,0,0,0,0,0
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,6,300000,350000,96,severe_slow,99,healthy,2,12.6,12.6,12.6,17.8,17.7,17.9,28.35,27.9,28.7,209295.5,209041,209555,4.65,4.5,4.8,9295.5,9041,9555,9295.5,9041,9555,1552.5,1463,1637,0,0,0,0,0,0,0,0,0
