scenario,policy,seeds,num_runs,timeout_ms,p99_ms_median,p99_ms_min,p99_ms_max,post_warmup_windowed_p99_ms_median,post_warmup_windowed_p99_ms_min,post_warmup_windowed_p99_ms_max,severe_window_p99_ms_median,severe_window_p99_ms_min,severe_window_p99_ms_max,post_onset_p99_auc_ms_median,bandwidth_overhead_pct_median,bandwidth_overhead_pct_min,bandwidth_overhead_pct_max,read_bypass_coverage_pct_median,read_bypass_eligible_events_median,read_bypass_triggered_events_median,pre_slowdown_parity_reads_median,recovery_parity_reads_median,migration_triggers_total,migration_true_positives_total,migration_false_positives_total,migration_false_negatives_total,migration_precision_pct,migration_recall_pct
dynamic_overlap_100d_4pct_hdd,vanilla_ec,42..71,30,15,55,54.3,55.5,63.35,62.1,64,64.25,63.4,65.3,558.8,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1
dynamic_overlap_100d_4pct_hdd,late_binding,42..71,30,15,23.5,23.1,23.8,26.5,26.1,27,27.1,26.6,27.6,212.5,25,25,25,-1,-1,-1,150000,10115.5,0,-1,-1,-1,-1,-1
dynamic_overlap_100d_4pct_hdd,timeout_degraded_read,42..71,30,15,27.4,27.2,27.6,28.2,27.9,28.6,28.8,28.4,29.1,216.85,4.5,4.5,4.5,-1,-1,-1,24287.5,8668.5,0,-1,-1,-1,-1,-1
dynamic_overlap_100d_4pct_hdd,health_ec,42..71,30,15,21.3,21.1,21.4,22.8,22.1,23.5,25,24.4,25.8,135.95,0.5,0.4,0.5,88.15,17404.5,15352,0,6781.5,180,179,0,36368,100,0.49
